ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
,,,,,,-13.8750,-60.5000,0.0000,SGN
0.7061,-1.2312,1.4456,2.8049,-1.0366,0.0610,,,,SGN
0.6779,-1.2260,1.4374,2.9878,-3.1402,0.4573,,,,SGN
0.7163,-1.2310,1.4739,2.1341,-3.8415,1.5244,,,,SGN
0.7786,-1.2285,1.5022,2.2561,-2.1341,1.8293,,,,SGN
0.7723,-1.2380,1.5183,2.5610,0.7317,2.1341,,,,SGN
0.7266,-1.2334,1.5081,2.6829,1.7073,1.8902,,,,SGN
0.7219,-1.2336,1.4883,2.6829,1.6463,2.1951,,,,SGN
0.7234,-1.2300,1.4553,3.1098,1.1585,2.3171,,,,SGN
,,,,,,-12.8125,-59.4375,-0.7500,SGN
0.7192,-1.2163,1.4387,2.1341,1.3415,2.3780,,,,SGN
0.7272,-1.2183,1.4560,2.1037,-0.2134,2.5305,,,,SGN
0.7441,-1.2175,1.4856,1.8902,-2.8659,2.4390,,,,SGN
0.7458,-1.2209,1.5198,1.8293,-3.6585,2.1951,,,,SGN
0.7217,-1.2306,1.5344,2.2866,-2.9573,0.9146,,,,SGN
0.6960,-1.2332,1.5430,3.2927,-0.7317,-0.3049,,,,SGN
0.6992,-1.2488,1.4954,,,,,,,SGN
0.7046,-1.2388,1.4163,4.7561,1.5244,-0.3659,,,,SGN
,,,3.9024,3.5976,-1.1585,-13.1875,-60.8750,0.0000,SGN
0.7036,-1.2068,1.4170,,,,,,,SGN
0.7058,-1.2251,1.4133,2.6220,5.3659,-1.5854,,,,SGN
0.6799,-1.2451,1.3926,2.8659,5.1829,-0.9756,,,,SGN
0.6887,-1.2329,1.4209,2.8659,1.9512,0.0610,,,,SGN
0.7175,-1.2517,1.4699,2.5000,-9.2988,0.8841,,,,SGN
0.6760,-1.2651,1.4622,4.3293,-23.1098,2.6220,,,,SGN
,,,5.2439,-28.6585,2.8659,,,,SGN
0.7356,-1.2070,1.4550,5.4878,-30.8232,2.1037,,,,SGN
0.8376,-1.2078,1.4648,7.0732,-21.4634,2.0122,,,,SGN
0.8542,-1.2207,1.4617,8.0488,-8.1098,1.2805,-13.1875,-60.5000,0.3750,SGN
0.8569,-1.1965,1.4463,6.7683,6.1585,-1.5244,,,,SGN
0.8584,-1.1807,1.4744,5.3659,17.6829,-3.6585,,,,SGN
0.7561,-1.1917,1.5062,3.1707,24.2987,-6.1890,,,,SGN
0.7729,-1.2390,1.4951,4.6341,16.3415,-6.4634,,,,SGN
0.7756,-1.1802,1.5535,1.8902,4.7561,-7.2561,,,,SGN
0.4884,-1.1371,1.6245,-2.3171,-6.8293,-12.6220,,,,SGN
0.5359,-1.1284,1.6138,-7.2561,-17.6829,-16.4634,,,,SGN
0.6648,-1.1682,1.5857,-10.9146,-18.0488,-16.0366,-15.6875,-60.8750,-0.7500,SGN
0.7632,-1.2131,1.5747,-10.1829,-9.0854,-17.2561,,,,SGN
0.7898,-1.1600,1.5631,-11.3415,13.1707,-23.3841,,,,SGN
0.6091,-1.1731,1.5325,-12.8049,28.8415,-29.8780,,,,SGN
0.4404,-1.2039,1.5085,-12.3171,35.0000,-32.5610,,,,SGN
0.4393,-1.1924,1.4387,-11.6159,37.5914,-38.0488,,,,SGN
0.4863,-1.1846,1.4368,-10.6707,36.5244,-43.2927,,,,SGN
0.5444,-1.1902,1.4602,-9.9390,35.0000,-44.2683,,,,SGN
