ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.5569,-0.6956,1.8259,1.4024,3.5366,-2.5610,,,,SGN
0.5435,-0.6868,1.8401,1.5244,5.7927,-3.5366,,,,SGN
0.5337,-0.6829,1.8594,1.0976,7.4695,-4.2378,,,,SGN
0.5305,-0.6863,1.8733,1.0366,9.1463,-5.0000,,,,SGN
,,,,,,-11.6875,-62.0000,-2.3125,SGN
0.5066,-0.6763,1.8701,0.0610,10.0000,-4.5122,,,,SGN
0.4785,-0.6572,1.8774,,,,,,,SGN
0.4509,-0.6545,1.8652,-0.7927,8.0488,-4.0549,,,,SGN
0.4384,-0.6734,1.8578,-1.7683,5.1829,-2.8049,,,,SGN
0.4365,-0.6912,1.8501,-1.4634,3.4146,-1.5854,,,,SGN
0.4741,-0.6919,1.8477,-0.9146,1.1585,-0.1830,,,,SGN
0.5162,-0.6985,1.8652,-0.3659,1.4634,1.0366,,,,SGN
0.5110,-0.7122,1.8711,0.3049,2.6829,1.6463,,,,SGN
,,,0.4878,2.8049,1.7073,-13.5000,-62.3125,-1.5625,SGN
0.4900,-0.7129,1.8608,,,,,,,SGN
,,,0.9756,2.9268,1.2805,,,,SGN
0.4834,-0.7144,1.8486,,,,,,,SGN
0.4873,-0.7009,1.8684,1.4939,1.8293,1.0061,,,,SGN
0.4878,-0.6907,1.8762,0.9146,1.7683,0.6098,,,,SGN
0.4785,-0.6810,1.8681,0.7317,0.3353,-0.5183,,,,SGN
0.4724,-0.6677,1.8831,0.2439,-1.0366,-0.2439,,,,SGN
0.4729,-0.6675,1.8794,0.4268,-2.0732,-0.5488,,,,SGN
0.4753,-0.6698,1.8726,0.1525,-2.9268,-0.2744,,,,SGN
,,,,,,-12.8125,-63.0625,-2.7500,SGN
0.5085,-0.6699,1.8879,-0.0610,-2.8049,0.6707,,,,SGN
0.5110,-0.6755,1.8699,-0.3049,-1.5854,0.4878,,,,SGN
0.4944,-0.6748,1.8459,-0.6098,-0.7927,0.3659,,,,SGN
0.4939,-0.6825,1.8169,-0.5183,-0.3659,0.2744,,,,SGN
0.5178,-0.6829,1.8379,-0.8537,1.4024,0.5488,,,,SGN
0.5242,-0.6860,1.8530,-0.9146,3.2927,1.4024,,,,SGN
0.5066,-0.7036,1.8741,-0.8537,4.7256,2.3476,,,,SGN
0.4597,-0.7161,1.8665,-0.4268,3.7195,3.1098,,,,SGN
0.4248,-0.7114,1.8552,,,,,,,SGN
,,,-0.2439,2.1341,3.2317,-11.3125,-61.2500,-1.5625,SGN
0.4124,-0.7031,1.8279,0.4268,-0.6707,3.4146,,,,SGN
0.4810,-0.7008,1.9044,-0.1829,-2.9268,2.8659,,,,SGN
0.5061,-0.7222,1.8542,0.3049,-3.9024,1.9207,,,,SGN
0.4905,-0.6775,1.8394,0.3049,-3.3537,0.0000,,,,SGN
0.4949,-0.6583,1.8521,0.4573,-4.4207,-0.1829,,,,SGN
0.5088,-0.6614,1.8530,0.3659,-3.7195,-0.7927,,,,SGN
0.5149,-0.6675,1.8740,0.3049,-2.7439,-1.2195,,,,SGN
0.5122,-0.6741,1.8652,0.4878,-1.8902,-1.2195,-11.6875,-61.6250,-1.9375,SGN
0.5007,-0.6780,1.8542,0.1220,-1.3415,-1.3415,,,,SGN
0.4922,-0.6777,1.8521,0.1829,-1.5244,-1.1585,,,,SGN
0.4940,-0.6784,1.8464,-0.1220,-1.8293,-0.9146,,,,SGN
,,,-0.1829,-2.1951,-0.9146,,,,SGN
