ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.5298,-0.6672,1.8799,1.1585,-0.3049,-0.1220,,,,SGN
0.5238,-0.6627,1.8627,0.7317,0.2744,-0.7317,,,,SGN
0.5139,-0.6663,1.8584,0.7927,0.9146,-1.3415,,,,SGN
0.5089,-0.6759,1.8585,0.7012,1.4024,-1.8598,,,,SGN
,,,,,,-12.4375,-62.6875,-1.1250,SGN
0.5242,-0.6680,1.8489,0.4878,2.3780,-2.1951,,,,SGN
0.5142,-0.6614,1.8594,,,,,,,SGN
0.4873,-0.6646,1.8694,0.1524,3.0183,-1.8902,,,,SGN
0.4690,-0.6714,1.8560,-0.1829,1.5244,-1.3415,,,,SGN
0.5277,-0.6737,1.8482,-0.2439,1.8293,-1.0366,,,,SGN
,,,-0.7317,3.4146,-1.0366,,,,SGN
0.5088,-0.6604,1.8564,-0.9756,4.8780,-0.6098,,,,SGN
0.4614,-0.6816,1.8567,-0.8537,2.4085,0.2439,,,,SGN
0.4656,-0.6902,1.8782,-0.7317,0.3659,0.3659,,,,SGN
0.4543,-0.6865,1.8884,-0.8537,-0.6707,1.4634,-13.1875,-63.0625,-2.7500,SGN
0.4602,-0.6914,1.8752,-0.4268,-1.8293,2.0732,,,,SGN
0.4958,-0.6824,1.8674,-0.5488,-1.8902,1.7073,,,,SGN
0.5220,-0.6815,1.8685,0.2440,0.0915,2.1951,,,,SGN
0.5442,-0.6765,1.8562,0.8537,1.8293,1.7073,,,,SGN
0.5456,-0.6599,1.8680,0.1830,4.2073,0.0914,,,,SGN
0.4895,-0.6538,1.8845,-0.0610,3.8415,-0.9756,,,,SGN
0.4558,-0.6677,1.8789,-0.4878,2.0122,-1.8902,-12.0625,-63.0625,-2.3125,SGN
0.4458,-0.6760,1.8792,-0.3659,-0.0610,-2.0122,,,,SGN
0.4507,-0.6787,1.8696,-0.3049,-2.1341,-1.9512,,,,SGN
0.4864,-0.6739,1.8503,-0.1220,-3.5366,-2.0427,,,,SGN
0.5330,-0.6814,1.8467,-0.2439,-1.8902,-2.0122,,,,SGN
0.5151,-0.6716,1.8415,-0.3049,0.3353,-1.7073,,,,SGN
0.4890,-0.6736,1.8545,-1.0366,1.1585,-1.0366,,,,SGN
0.4996,-0.6787,1.8635,-0.8841,2.5000,-0.3354,,,,SGN
,,,,,,-13.1875,-63.0625,-2.3125,SGN
0.4753,-0.6763,1.8586,-0.4878,2.8049,0.6707,,,,SGN
0.4563,-0.6821,1.8630,,,,,,,SGN
0.4705,-0.6877,1.8704,-0.2744,0.7927,1.7378,,,,SGN
0.4856,-0.6924,1.8779,0.0000,0.0000,2.6829,,,,SGN
0.4954,-0.6854,1.8740,0.2439,-0.4878,2.5000,,,,SGN
0.4998,-0.6765,1.8811,0.4878,-0.8232,2.1037,,,,SGN
0.5199,-0.6649,1.8642,0.6098,0.4268,0.6098,,,,SGN
0.5183,-0.6516,1.8718,0.2439,0.8537,-0.3049,,,,SGN
,,,,,,-11.6875,-62.6875,-0.7500,SGN
0.5249,-0.6767,1.8579,0.8537,1.5244,-0.8537,,,,SGN
0.4890,-0.6660,1.8672,0.7927,2.5000,-2.0732,,,,SGN
0.4478,-0.6687,1.8735,0.0000,1.6768,-2.2866,,,,SGN
0.4788,-0.6824,1.8694,-0.1829,-0.4268,-2.2561,,,,SGN
0.4934,-0.6702,1.8755,-0.4878,0.0000,-1.9512,,,,SGN
0.4625,-0.6610,1.8574,-0.6707,-1.0976,-2.1341,,,,SGN
0.4731,-0.6655,1.8381,-0.7927,-2.5305,-1.8902,,,,SGN
0.4909,-0.6781,1.8396,-0.5183,-2.2561,-0.9451,,,,SGN
,,,,,,-12.8125,-63.0625,-0.7500,SGN
0.5212,-0.6973,1.8501,-0.4878,-0.4268,0.3659,,,,SGN
0.5151,-0.6992,1.8679,0.0610,1.0366,1.0976,,,,SGN
0.4910,-0.7061,1.8674,0.3049,1.8902,2.0122,,,,SGN
