ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.9370,-0.1514,-0.3315,-5.4268,24.8780,-2.9268,-60.9375,-81.6875,14.1875,SGN
1.9480,-0.1365,-0.3286,-5.6707,26.1585,-3.2317,,,,SGN
1.9761,-0.1357,-0.3408,-5.9756,26.6463,-2.6220,,,,SGN
2.0261,-0.1405,-0.3569,-5.3354,23.6585,-2.2561,,,,SGN
2.0232,-0.1426,-0.3616,-4.4512,19.9390,-1.3415,,,,SGN
1.9963,-0.1396,-0.3557,-3.4756,16.7073,-0.5488,,,,SGN
1.9814,-0.1379,-0.3513,-2.7439,13.5366,0.3049,,,,SGN
1.9817,-0.1267,-0.3569,-1.6159,9.2988,1.0366,,,,SGN
2.0090,-0.1301,-0.3525,-0.8537,6.3415,1.5244,,,,SGN
2.0422,-0.1365,-0.3596,-0.1220,4.0854,1.8902,,,,SGN
2.0122,-0.1501,-0.3484,0.1829,3.1098,1.7073,-60.1875,-83.5000,13.3750,SGN
1.9746,-0.1538,-0.3364,0.9146,1.8902,2.0122,,,,SGN
1.9729,-0.1614,-0.3245,1.2195,0.9756,1.9512,,,,SGN
1.9780,-0.1697,-0.3069,1.5854,2.1341,1.4024,,,,SGN
1.9783,-0.1765,-0.2966,1.4024,3.7805,0.6098,,,,SGN
1.9746,-0.1750,-0.2961,1.0366,4.8780,-0.3659,,,,SGN
1.9700,-0.1799,-0.2969,0.9756,5.2439,-0.6098,,,,SGN
1.9761,-0.1807,-0.2961,0.9756,5.4268,-0.9146,,,,SGN
1.9719,-0.1734,-0.2774,0.0915,8.0793,-1.4024,,,,SGN
,,,,,,-60.9375,-82.3750,13.0000,SGN
1.9800,-0.1619,-0.2583,-0.1829,11.2805,-1.5854,,,,SGN
1.9972,-0.1454,-0.2507,-0.5793,12.9878,-1.4329,,,,SGN
1.9893,-0.1326,-0.2532,-0.3049,12.9878,-1.4024,,,,SGN
1.9946,-0.1367,-0.2554,-0.1220,10.8537,-1.4634,,,,SGN
2.0093,-0.1443,-0.2566,-0.0610,8.5366,-1.6463,,,,SGN
2.0105,-0.1533,-0.2522,,,,,,,SGN
2.0028,-0.1668,-0.2633,0.3354,6.5854,-1.1585,,,,SGN
1.9958,-0.1746,-0.2827,0.5488,4.2073,-1.2805,,,,SGN
,,,0.7927,2.2561,-1.2805,-59.5000,-82.3750,11.0000,SGN
1.9943,-0.1701,-0.2792,0.9146,0.4878,-1.0366,,,,SGN
2.0042,-0.1602,-0.2639,1.2805,-0.2439,-1.0366,,,,SGN
2.0134,-0.1521,-0.2568,0.9756,-0.2439,-1.6159,,,,SGN
2.0188,-0.1550,-0.2554,,,,,,,SGN
2.0066,-0.1584,-0.2593,0.2439,0.6098,-1.2805,,,,SGN
1.9916,-0.1575,-0.2600,-0.2744,0.8537,-1.5244,,,,SGN
2.0178,-0.1497,-0.2563,-0.7927,0.4878,-1.7073,,,,SGN
2.0061,-0.1453,-0.2502,-1.3415,0.7927,-1.1585,,,,SGN
1.9668,-0.1504,-0.2573,-1.6463,1.7683,-1.0976,-59.8750,-82.7500,13.0000,SGN
1.9429,-0.1482,-0.2622,-2.1951,2.8659,-1.0366,,,,SGN
1.9492,-0.1331,-0.2590,-2.6220,2.0122,-1.0976,,,,SGN
1.9817,-0.1193,-0.2490,-2.5000,0.7012,-0.8841,,,,SGN
2.0103,-0.1252,-0.2539,-2.8659,0.2439,-1.2195,,,,SGN
2.0066,-0.1287,-0.2708,-2.0122,0.3049,-1.0976,,,,SGN
2.0012,-0.1274,-0.2725,-1.4024,-1.2500,-1.0976,,,,SGN
2.0159,-0.1267,-0.2742,-0.3659,-2.1341,-0.7927,,,,SGN
2.0229,-0.1321,-0.2800,-0.1220,-2.6829,-0.6707,,,,SGN
2.0024,-0.1387,-0.2808,0.4268,-2.9268,-0.9756,-59.5000,-82.7500,14.5625,SGN
1.9912,-0.1414,-0.2881,1.0366,-3.6585,-0.7927,,,,SGN
2.0259,-0.1476,-0.2892,0.8537,-4.3293,-0.7927,,,,SGN
,,,0.7927,-4.8171,-0.9146,,,,SGN
2.0337,-0.1665,-0.2896,0.7317,-3.9634,-1.1585,,,,SGN
2.0115,-0.1804,-0.2837,0.8537,-4.1463,-1.3415,,,,SGN
2.0029,-0.1899,-0.2756,0.4878,-4.3902,-1.0366,,,,SGN
2.0000,-0.1931,-0.2698,1.0976,-4.5732,-0.9146,,,,SGN
2.0100,-0.1882,-0.2627,1.4634,-3.4146,-1.0976,,,,SGN
2.0176,-0.1802,-0.2656,1.8293,-1.7683,-1.2195,,,,SGN
2.0024,-0.1650,-0.2808,1.4634,-0.3659,-1.3415,,,,SGN
,,,,,,-60.1875,-83.5000,13.3750,SGN
1.9869,-0.1418,-0.2700,1.4024,0.4879,-1.6159,,,,SGN
1.9600,-0.1360,-0.2585,0.8537,0.3049,-1.8293,,,,SGN
1.9436,-0.1355,-0.2549,0.7927,-1.1585,-1.5854,,,,SGN
1.9421,-0.1228,-0.2458,0.7317,-3.0488,-1.5854,,,,SGN
1.9756,-0.1159,-0.2501,0.2439,-3.1707,-2.0427,,,,SGN
2.0288,-0.1260,-0.2539,,,,,,,SGN
2.0286,-0.1230,-0.2566,0.4878,-2.5610,-2.2561,,,,SGN
2.0181,-0.1216,-0.2551,0.6402,-2.4390,-2.1037,-60.5625,-83.1250,13.3750,SGN
2.0134,-0.1270,-0.2673,,,,,,,SGN
2.0117,-0.1340,-0.2791,0.9451,-5.1829,-2.0427,,,,SGN
2.0170,-0.1400,-0.2955,1.4634,-7.9268,-1.2805,,,,SGN
2.0193,-0.1418,-0.3035,1.4024,-9.4512,-1.3415,,,,SGN
2.0088,-0.1450,-0.3088,1.5244,-10.3659,-0.9756,,,,SGN
,,,1.5244,-11.8293,-1.0366,,,,SGN
2.0017,-0.1460,-0.3071,1.5854,-11.9512,-0.7317,,,,SGN
2.0034,-0.1472,-0.3088,1.4634,-11.3415,-0.4268,,,,SGN
2.0382,-0.1479,-0.2966,0.5793,-4.2378,-1.3110,,,,SGN
,,,,,,-59.8750,-83.5000,12.6250,SGN
2.0530,-0.1433,-0.3030,,,,,,,SGN
1.9995,-0.1360,-0.3029,-0.1525,7.1341,-2.4390,,,,SGN
1.9587,-0.1333,-0.2920,-0.4268,9.0854,-2.9268,,,,SGN
1.9512,-0.1462,-0.2751,-0.3049,8.2927,-3.4756,,,,SGN
1.9495,-0.1475,-0.2695,0.0610,6.9512,-3.2317,,,,SGN
1.9502,-0.1340,-0.2695,0.4878,4.6341,-2.5610,,,,SGN
1.9683,-0.1267,-0.2788,1.2195,2.3171,-2.4390,,,,SGN
1.9944,-0.1321,-0.2957,1.7073,0.9146,-2.3171,,,,SGN
2.0088,-0.1277,-0.2981,2.3780,-0.7927,-1.5854,,,,SGN
,,,3.0488,-1.4634,-1.7073,-61.3125,-82.7500,12.1875,SGN
2.0219,-0.1189,-0.2892,3.2317,-1.8293,-1.7073,,,,SGN
2.0125,-0.1199,-0.2834,3.5976,-1.7683,-1.5854,,,,SGN
1.9929,-0.1226,-0.2947,3.7195,-2.7439,-1.3415,,,,SGN
1.9887,-0.1293,-0.3076,3.8110,-6.2500,-1.3110,,,,SGN
,,,4.2073,-10.7317,-1.0976,,,,SGN
1.9873,-0.1294,-0.3264,4.0244,-11.3415,-1.5244,,,,SGN
1.9910,-0.1270,-0.3379,3.9634,-11.7073,-1.7073,,,,SGN
