ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.8118,-0.7012,0.5540,-0.1829,-0.9756,-0.1829,,,,SGN
1.8278,-0.7007,0.5501,-0.5488,-1.1280,-1.0061,,,,SGN
1.8286,-0.6895,0.6047,-1.7683,0.7317,-1.5244,,,,SGN
1.8188,-0.6970,0.5930,-1.6463,-1.1585,-0.8537,-46.3750,-74.7500,-1.9375,SGN
1.8274,-0.7009,0.5403,-1.0366,-3.6585,-0.7927,,,,SGN
1.8606,-0.6907,0.5015,-0.7317,-3.5366,-0.4878,,,,SGN
1.8922,-0.6901,0.5097,-0.7317,-0.6707,-0.3659,,,,SGN
1.8696,-0.6799,0.5227,-0.1829,3.1707,-0.1829,,,,SGN
1.8725,-0.7012,0.5020,-0.1830,3.5671,0.0915,,,,SGN
1.8672,-0.7283,0.5330,0.3049,1.5244,0.9146,,,,SGN
1.8687,-0.7070,0.5366,0.5488,0.4268,0.7927,,,,SGN
1.8521,-0.6943,0.5354,0.8537,-0.0610,1.0366,,,,SGN
,,,,,,-46.3750,-72.9375,-0.7500,SGN
1.8097,-0.6910,0.5353,1.0976,-1.2500,0.5793,,,,SGN
1.8018,-0.6929,0.5227,1.9512,-0.1829,-0.4268,,,,SGN
1.8423,-0.6882,0.5056,1.7683,3.2317,-0.7317,,,,SGN
1.8746,-0.6834,0.5364,1.2195,9.4512,-1.6768,,,,SGN
1.8508,-0.6929,0.5342,0.7927,12.1951,-2.4390,,,,SGN
1.8011,-0.6978,0.5814,-0.3049,13.8110,-4.4512,,,,SGN
1.7966,-0.7229,0.5676,-0.5488,9.8780,-4.5732,,,,SGN
,,,,,,-45.6250,-75.5000,-0.7500,SGN
1.7749,-0.7295,0.5447,0.3049,3.5976,-3.8415,,,,SGN
1.7676,-0.7100,0.5444,0.4268,-1.1585,-3.4146,,,,SGN
1.8502,-0.6971,0.5453,0.9146,-3.4756,-2.6524,,,,SGN
1.8928,-0.6755,0.5364,1.0976,-1.8902,-2.0732,,,,SGN
1.8936,-0.6531,0.5535,0.5488,0.4268,-1.8293,,,,SGN
1.8297,-0.6475,0.5837,0.6098,2.9268,-1.0671,,,,SGN
1.8359,-0.6628,0.5659,0.9146,1.5244,0.4268,,,,SGN
1.8340,-0.6675,0.5654,0.1220,1.6463,0.1829,-46.3750,-75.1250,-1.5625,SGN
1.8242,-0.6641,0.5645,0.3659,1.5854,0.5488,,,,SGN
1.8398,-0.6663,0.5559,,,,,,,SGN
1.8701,-0.6787,0.5569,0.0000,-0.6707,1.3720,,,,SGN
1.8828,-0.6780,0.5637,-0.1220,-1.0366,1.2195,,,,SGN
,,,-0.2439,0.6098,0.9146,,,,SGN
1.8698,-0.6754,0.5684,-0.5488,2.6524,0.9756,,,,SGN
1.8599,-0.6782,0.5535,-0.4268,3.4146,1.0976,,,,SGN
1.8605,-0.6832,0.5498,-0.6098,4.3902,0.9451,,,,SGN
,,,,,,-46.3750,-72.5625,-0.7500,SGN
1.8199,-0.6929,0.5444,-0.5183,3.4756,0.8232,,,,SGN
1.8154,-0.6973,0.5413,-0.0610,0.8537,0.7927,,,,SGN
1.8167,-0.7000,0.5444,0.4268,1.0366,0.6707,,,,SGN
1.8266,-0.6988,0.5444,0.5183,1.9817,0.1220,,,,SGN
1.8269,-0.6865,0.5745,1.2195,3.5366,0.2439,,,,SGN
1.8382,-0.6789,0.5588,1.0976,5.4268,-0.0610,,,,SGN
1.8477,-0.6848,0.5703,0.6707,6.5244,-0.0610,,,,SGN
1.8271,-0.6794,0.5986,0.5488,7.3780,-0.9146,,,,SGN
,,,,,,-46.7500,-74.3750,-3.1250,SGN
1.8047,-0.6787,0.6150,0.3049,7.1341,-1.7073,,,,SGN
1.7904,-0.6942,0.5896,1.0976,-0.0305,-0.6098,,,,SGN
1.7756,-0.6907,0.5811,0.9756,-5.6098,-0.9756,,,,SGN
1.8152,-0.6880,0.5596,0.9756,-5.4268,-1.8293,,,,SGN
1.8702,-0.6989,0.5620,0.6402,-0.9146,-1.7683,,,,SGN
1.8484,-0.6941,0.5679,0.4878,1.5854,-1.6463,,,,SGN
1.8289,-0.6855,0.5742,,,,,,,SGN
1.8237,-0.6868,0.5691,0.8841,-1.4024,-0.9451,,,,SGN
,,,,,,-45.6250,-75.1250,-1.9375,SGN
1.8293,-0.6978,0.5735,1.5854,-4.5122,-0.3049,,,,SGN
1.8320,-0.7024,0.5791,3.0183,-5.1220,-0.3049,,,,SGN
1.8193,-0.6897,0.5671,,,,,,,SGN
,,,3.5366,-4.8171,-0.9146,,,,SGN
1.8182,-0.6532,0.5769,2.1646,-4.2378,-1.5549,,,,SGN
1.8511,-0.6436,0.5818,1.0366,-4.0854,-0.8537,,,,SGN
1.8730,-0.6431,0.5862,0.1220,-1.4634,-1.5244,,,,SGN
