ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.4536,-0.6592,1.8811,0.2439,-1.1585,0.8537,,,,SGN
0.4568,-0.6596,1.8894,0.3659,-0.5487,0.0610,,,,SGN
0.4651,-0.6638,1.8799,0.2439,-0.1829,-0.8537,,,,SGN
0.4722,-0.6626,1.8787,-0.0610,0.6098,-1.4024,-11.0000,-62.6875,-1.9375,SGN
0.4570,-0.6682,1.8843,0.4878,1.0976,-1.4024,,,,SGN
0.4435,-0.6710,1.8687,0.4878,1.4024,-1.6463,,,,SGN
0.4260,-0.6643,1.8716,0.3049,0.7317,-1.2805,,,,SGN
0.4177,-0.6665,1.8848,0.3659,0.0610,-1.0366,,,,SGN
0.4363,-0.6666,1.8661,0.2135,-0.0610,-1.0976,,,,SGN
0.4224,-0.6583,1.8678,-0.4573,-0.8841,-0.5487,,,,SGN
0.4277,-0.6736,1.8779,-0.4268,-2.2561,-0.1220,,,,SGN
,,,,,,-12.0625,-62.3125,-1.1250,SGN
0.4448,-0.6785,1.8755,-0.8537,-2.3171,0.3049,,,,SGN
0.4482,-0.6831,1.8756,0.2440,-1.3415,0.9451,,,,SGN
0.4397,-0.6726,1.8884,,,,,,,SGN
,,,0.3049,-1.3415,1.8293,,,,SGN
0.4407,-0.6747,1.8888,0.4268,-1.9207,1.5854,,,,SGN
0.4575,-0.6665,1.8855,0.6098,-1.7073,1.4024,,,,SGN
0.4634,-0.6621,1.8923,0.6098,-1.0976,0.9756,,,,SGN
0.4624,-0.6541,1.8931,0.4268,-0.5488,0.5488,,,,SGN
0.4675,-0.6558,1.8860,0.7317,0.3049,0.0610,,,,SGN
,,,,,,-12.4375,-63.4375,-1.5625,SGN
0.4653,-0.6567,1.8774,0.3963,1.3720,-1.0061,,,,SGN
0.4526,-0.6606,1.8823,0.4878,1.7073,-1.5854,,,,SGN
0.4438,-0.6712,1.8785,0.4878,1.5549,-1.7073,,,,SGN
0.4469,-0.6721,1.8699,0.6098,1.2195,-2.0122,,,,SGN
0.4348,-0.6636,1.8782,0.4268,1.1585,-1.8293,,,,SGN
0.4327,-0.6604,1.8599,0.2439,0.8841,-1.6159,,,,SGN
,,,,,,-12.8125,-62.3125,-1.9375,SGN
0.4407,-0.6580,1.8672,-0.1220,1.2195,-1.0366,,,,SGN
0.4345,-0.6683,1.8772,-0.3049,1.7988,-0.1220,,,,SGN
0.4233,-0.6865,1.8752,0.4268,1.4024,1.1585,,,,SGN
0.4319,-0.6816,1.8806,0.5488,0.9146,1.5854,,,,SGN
0.4368,-0.6757,1.8870,0.7622,0.8232,2.2256,,,,SGN
0.4495,-0.6638,1.8782,0.6707,0.2439,2.1341,,,,SGN
0.4500,-0.6680,1.8962,0.7927,0.4268,1.9512,,,,SGN
0.4373,-0.6638,1.8982,0.8537,-0.2439,1.4024,,,,SGN
,,,,,,-10.2500,-62.6875,-2.7500,SGN
0.4556,-0.6627,1.8868,1.3110,-0.7622,0.0610,,,,SGN
0.4583,-0.6577,1.8708,1.0976,-0.6098,-0.6707,,,,SGN
0.4500,-0.6562,1.8740,1.0976,-1.0976,-1.1585,,,,SGN
0.4471,-0.6628,1.8832,0.9451,-0.6707,-1.1890,,,,SGN
0.4634,-0.6646,1.8813,,,,,,,SGN
0.4597,-0.6606,1.8789,0.8841,0.7317,-1.5244,,,,SGN
0.4297,-0.6560,1.8865,0.4268,1.3415,-1.2805,,,,SGN
0.4175,-0.6577,1.8782,0.6098,0.9146,-1.0976,,,,SGN
0.4309,-0.6543,1.8770,0.3049,1.2805,-0.9756,-12.8125,-63.0625,-1.5625,SGN
0.4365,-0.6545,1.8589,-0.4268,1.3415,-0.3659,,,,SGN
0.4509,-0.6555,1.8733,-1.2805,1.5244,-0.7927,,,,SGN
