ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.6180,-1.0056,0.7480,-0.3354,14.4207,2.2866,,,,SGN
,,,,,,-38.3125,-66.0000,-2.3125,SGN
1.5618,-1.0212,0.7634,0.5488,9.2073,2.0122,,,,SGN
1.5503,-1.0304,0.7705,1.5854,0.4268,2.7134,,,,SGN
1.5632,-1.0247,0.7651,2.3780,-7.1951,2.8659,,,,SGN
1.5762,-1.0295,0.7463,3.0488,-9.7561,2.8659,,,,SGN
1.5781,-1.0352,0.7239,3.9634,-13.1098,2.9268,,,,SGN
1.5515,-1.0381,0.6997,5.1829,-17.0732,3.1098,,,,SGN
1.5489,-1.0341,0.6915,7.0122,-22.5000,3.9634,,,,SGN
1.5825,-1.0344,0.6904,9.1463,-26.0366,4.0244,,,,SGN
,,,,,,-37.2500,-64.5000,-1.1250,SGN
1.6303,-1.0362,0.6859,11.0671,-29.1159,5.5183,,,,SGN
1.6418,-1.0356,0.6978,13.7195,-34.5732,7.4390,,,,SGN
1.6128,-1.0342,0.7007,15.3659,-41.2805,8.5976,,,,SGN
1.6045,-1.0293,0.6980,16.6463,-46.8902,9.0244,,,,SGN
1.6658,-1.0112,0.6711,17.5000,-49.0854,10.1829,,,,SGN
1.7530,-1.0091,0.6569,16.9207,-42.0122,10.6707,,,,SGN
1.8286,-0.9861,0.7231,17.1341,-25.9756,11.8902,,,,SGN
1.9243,-0.8801,0.7175,11.8293,-7.6220,10.7317,-38.6875,-65.2500,-0.7500,SGN
1.9119,-0.8792,0.7893,7.0122,15.2439,5.4878,,,,SGN
1.7839,-0.9739,0.9453,2.9878,36.2805,3.7195,,,,SGN
1.4765,-1.0339,0.9398,1.4634,34.6646,3.8110,,,,SGN
1.2866,-1.0188,0.8762,-0.1829,16.7073,5.2439,,,,SGN
1.4797,-1.0430,0.7878,-1.4634,1.1585,7.4390,,,,SGN
1.6196,-1.0664,0.7898,-0.3049,-4.8780,8.7805,,,,SGN
1.6763,-1.0608,0.7517,0.4878,-3.7805,8.9634,,,,SGN
1.6593,-1.0481,0.6861,1.0671,1.1585,7.1646,,,,SGN
,,,,,,-38.3125,-65.2500,-1.9375,SGN
1.6262,-1.0649,0.6470,0.4878,4.0244,6.3415,,,,SGN
1.5905,-1.0291,0.7038,-0.1829,7.4695,5.7622,,,,SGN
1.5388,-1.0061,0.7468,,,,,,,SGN
,,,-1.7683,10.0000,3.3537,,,,SGN
1.4902,-1.0188,0.7725,-2.0732,8.4146,1.7073,,,,SGN
1.4414,-1.0283,0.7915,,,,,,,SGN
1.4258,-1.0303,0.7927,-2.4085,2.8659,-0.3963,,,,SGN
1.4385,-1.0304,0.7800,-2.6220,-3.2927,-2.8659,,,,SGN
1.4644,-1.0339,0.7568,-2.8049,-5.5488,-4.7561,,,,SGN
,,,-2.8659,-6.8902,-6.7683,-36.5000,-66.6875,-0.7500,SGN
1.4615,-1.0534,0.6950,-2.6829,-7.3171,-8.2927,,,,SGN
1.5020,-1.0613,0.6753,-2.3780,-7.0122,-10.3049,,,,SGN
1.5784,-1.0569,0.6736,-1.8293,-4.9085,-11.4634,,,,SGN
1.6284,-1.0476,0.6961,-1.2805,-2.3780,-11.8293,,,,SGN
1.6294,-1.0007,0.7727,-1.4024,-1.1585,-11.9512,,,,SGN
1.6240,-0.9019,0.8784,-1.0366,-5.7317,-12.3476,,,,SGN
1.5913,-0.8904,0.7715,-4.1463,-8.0488,-12.9268,,,,SGN
1.6157,-1.0142,0.6877,-5.1829,-6.8902,-15.0610,,,,SGN
1.6750,-1.1326,0.7124,-3.4146,-5.3659,-13.1098,,,,SGN
,,,,,,-37.2500,-66.0000,-1.1250,SGN
1.6555,-1.1116,0.6819,-1.5244,-7.4390,-10.7927,,,,SGN
1.6677,-0.9778,0.6872,-2.9878,-7.5000,-10.1524,,,,SGN
1.7466,-1.0076,0.6699,-2.5000,-7.1951,-7.8659,,,,SGN
1.7581,-1.0417,0.6553,-1.6463,-5.6707,-6.4634,,,,SGN
1.7737,-1.0400,0.6587,-0.6707,-4.2073,-4.5122,,,,SGN
1.7764,-1.0115,0.6479,-0.0610,-4.5122,-2.5000,,,,SGN
1.7449,-0.9858,0.6519,0.6098,-5.1220,-0.9756,,,,SGN
1.7136,-0.9817,0.6396,1.4024,-6.4634,0.6098,,,,SGN
1.7268,-0.9968,0.6189,2.6829,-8.8415,2.1951,,,,SGN
,,,,,,-39.4375,-67.0625,-1.1250,SGN
1.7580,-0.9952,0.6080,4.5122,-11.0671,4.9390,,,,SGN
1.7336,-0.9736,0.6248,5.9756,-11.4024,6.2195,,,,SGN
1.7336,-0.9761,0.6179,6.2195,-11.4634,8.2317,,,,SGN
1.7317,-0.9841,0.6372,6.3415,-10.7927,9.3293,,,,SGN
1.7080,-1.0007,0.6787,6.7073,-9.0854,9.9390,,,,SGN
1.6866,-0.9974,0.7257,7.1341,-8.6890,11.5549,,,,SGN
1.7102,-0.9646,0.7058,5.3049,-9.7561,11.7683,,,,SGN
1.7104,-1.0005,0.7092,4.0854,-9.0244,12.1341,,,,SGN
1.7190,-1.0479,0.7180,4.7561,-8.2317,13.1098,-39.0625,-66.3750,-0.7500,SGN
1.7139,-1.0437,0.6965,4.0854,-7.1951,13.4756,,,,SGN
1.7021,-1.0242,0.6909,2.8049,-3.8415,13.1707,,,,SGN
1.6990,-1.0166,0.6921,1.8293,0.3049,12.9268,,,,SGN
1.6819,-1.0225,0.6953,1.2195,4.0854,12.9878,,,,SGN
1.6289,-1.0210,0.7173,-0.1220,5.0610,12.5610,,,,SGN
1.5806,-1.0359,0.6978,0.2439,6.1585,13.4146,,,,SGN
1.5896,-1.0554,0.6370,-0.0610,6.5854,12.4390,,,,SGN
1.6555,-1.0303,0.7231,-0.3049,4.3902,11.7073,,,,SGN
1.5581,-1.0427,0.7344,0.4268,5.6098,11.2195,,,,SGN
,,,,,,-38.6875,-66.0000,-1.9375,SGN
1.5181,-1.0586,0.6926,-0.1829,7.0732,11.0366,,,,SGN
1.6086,-1.0531,0.6827,0.4878,8.9634,9.2988,,,,SGN
1.6033,-1.0393,0.6692,0.1829,14.2073,7.6829,,,,SGN
1.5781,-1.0427,0.6448,0.1220,16.0976,6.0366,,,,SGN
1.5178,-1.0503,0.6541,0.3049,17.9268,4.1463,,,,SGN
1.4758,-1.0488,0.6780,-0.0610,19.2073,1.9512,,,,SGN
1.4648,-1.0413,0.7024,-0.4268,19.0244,0.0000,,,,SGN
1.4612,-1.0452,0.7231,-0.6707,18.0488,-1.5854,,,,SGN
1.4426,-1.0566,0.7354,-0.1829,15.2439,-3.1707,,,,SGN
1.4214,-1.0652,0.7498,-0.3049,11.4634,-5.3049,,,,SGN
1.4172,-1.0691,0.7566,-0.6707,6.9512,-7.8049,-37.6250,-65.2500,-0.3750,SGN
1.4478,-1.0693,0.7454,-0.4878,2.2561,-8.9634,,,,SGN
