ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
2.0293,-0.1536,-0.2996,1.0366,0.6098,-0.4268,,,,SGN
2.0447,-0.1729,-0.3362,,,,,,,SGN
,,,1.2195,0.7927,-0.4268,,,,SGN
,,,,,,-60.9375,-82.7500,13.0000,SGN
2.0164,-0.1794,-0.3491,1.5854,0.1829,-0.2439,,,,SGN
2.0143,-0.1800,-0.3390,1.6463,-1.0671,0.2743,,,,SGN
2.0374,-0.1628,-0.3057,1.5854,-1.2805,1.9512,,,,SGN
1.9998,-0.1582,-0.2838,0.5488,-1.6159,1.5854,,,,SGN
1.9688,-0.1804,-0.2407,-1.2195,2.5610,0.4268,,,,SGN
1.9790,-0.1946,-0.2188,-1.2195,6.4634,-0.3049,,,,SGN
1.9949,-0.1842,-0.2354,-1.3415,9.7866,-1.0366,,,,SGN
,,,,,,-60.5625,-83.1250,13.0000,SGN
1.9900,-0.1824,-0.2671,-2.3171,8.7805,0.0610,,,,SGN
1.9714,-0.1919,-0.2908,-1.8902,6.4024,0.2439,,,,SGN
1.9805,-0.1831,-0.2927,-2.0122,4.0244,0.9756,,,,SGN
1.9851,-0.1660,-0.2656,-1.2805,3.2927,1.8293,,,,SGN
2.0016,-0.1425,-0.2526,-1.8598,3.9329,2.7134,,,,SGN
1.9976,-0.1514,-0.2163,-1.5854,1.5244,3.2927,,,,SGN
1.9568,-0.1577,-0.2363,-1.8293,-0.9756,3.5366,,,,SGN
1.9631,-0.1562,-0.2544,-2.3171,-2.5610,2.2561,,,,SGN
1.9893,-0.1733,-0.2734,-2.0732,-2.6829,1.7683,,,,SGN
,,,,,,-59.5000,-83.5000,13.7500,SGN
2.0032,-0.1921,-0.2920,-0.9756,-1.4024,1.9512,,,,SGN
2.0020,-0.1904,-0.3269,-0.6098,-1.4024,1.4024,,,,SGN
2.0129,-0.1768,-0.3455,-0.6707,-2.1951,1.4024,,,,SGN
2.0155,-0.1729,-0.3419,-0.4573,-3.5061,1.5244,,,,SGN
2.0090,-0.1775,-0.3279,-0.3659,-4.6341,2.1951,,,,SGN
2.0044,-0.1851,-0.3208,0.0000,-4.0244,1.8293,,,,SGN
2.0144,-0.1882,-0.2988,-0.3049,-2.4390,1.8902,,,,SGN
2.0176,-0.1978,-0.2744,-0.3659,-0.2439,1.8293,,,,SGN
2.0061,-0.2107,-0.2583,0.3659,1.0366,2.2561,-60.5625,-82.0625,13.3750,SGN
1.9956,-0.2046,-0.2695,0.5488,0.0610,2.3171,,,,SGN
2.0158,-0.1805,-0.2798,0.3049,0.6098,2.7134,,,,SGN
2.0513,-0.1750,-0.2795,-0.1220,3.3537,3.1707,,,,SGN
2.0171,-0.1748,-0.2700,-0.2439,6.5854,3.2927,,,,SGN
1.9491,-0.1627,-0.2615,-0.7317,7.2561,3.1402,,,,SGN
1.9780,-0.1746,-0.2847,-0.9756,4.3293,4.0244,,,,SGN
2.0076,-0.1909,-0.2744,-0.9146,3.1707,4.2683,,,,SGN
2.0012,-0.1926,-0.2451,-1.2195,3.2317,3.5976,,,,SGN
1.9919,-0.1794,-0.2234,-2.0732,3.8415,3.2317,,,,SGN
,,,,,,-59.8750,-82.4375,14.1875,SGN
2.0072,-0.1787,-0.2287,-2.7134,4.7561,3.7195,,,,SGN
2.0391,-0.2068,-0.2756,-2.9878,3.6585,4.4512,,,,SGN
2.0291,-0.2207,-0.3040,-2.7439,2.5610,4.1463,,,,SGN
2.0156,-0.2275,-0.3142,-2.5610,1.2805,4.3293,,,,SGN
2.0039,-0.2197,-0.2961,-2.5610,0.4268,4.5732,,,,SGN
1.9792,-0.2100,-0.2761,-1.9512,0.8537,4.5732,,,,SGN
1.9749,-0.1914,-0.2754,-1.9512,1.1585,4.6341,,,,SGN
1.9961,-0.1829,-0.2871,-1.8902,0.9146,5.1220,,,,SGN
2.0115,-0.1868,-0.2905,-1.7073,0.1829,5.3659,,,,SGN
,,,,,,-59.8750,-81.3125,13.3750,SGN
1.9933,-0.1855,-0.2709,-0.9756,-0.9146,5.4268,,,,SGN
1.9807,-0.1941,-0.2705,-1.0366,-2.0732,5.3354,,,,SGN
1.9868,-0.2119,-0.2729,-1.4024,-3.6585,5.6098,,,,SGN
1.9564,-0.2232,-0.2686,-1.8902,-3.3537,5.1220,,,,SGN
1.9316,-0.2097,-0.2556,-3.3841,-0.9451,3.9024,,,,SGN
1.9631,-0.2036,-0.2466,-4.9390,2.9268,2.6220,,,,SGN
1.9888,-0.2282,-0.2360,-6.1585,5.3659,2.3780,,,,SGN
,,,-6.0976,6.1585,2.2561,-58.0000,-81.3125,12.6250,SGN
2.0127,-0.2456,-0.2456,,,,,,,SGN
2.0117,-0.2346,-0.2493,-5.6707,6.2195,1.6463,,,,SGN
1.9883,-0.2031,-0.2544,-5.0610,3.3537,1.5244,,,,SGN
1.9690,-0.1863,-0.2778,-4.3293,-0.3049,2.3171,,,,SGN
1.9924,-0.2118,-0.3134,-3.1707,-3.1707,2.9878,,,,SGN
,,,-1.5854,-4.2683,2.8659,,,,SGN
2.0154,-0.2368,-0.3403,0.1220,-4.1463,2.5610,,,,SGN
2.0311,-0.2269,-0.3427,1.2195,-3.5366,3.4756,,,,SGN
,,,2.3171,-3.3537,3.7195,,,,SGN
2.0239,-0.2351,-0.3157,2.9268,-3.9024,3.9634,,,,SGN
,,,,,,-59.5000,-81.6875,12.6250,SGN
2.0181,-0.2625,-0.2820,3.4756,-6.3720,5.1524,,,,SGN
