ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
,,,,,,-12.8125,-63.0625,-1.5625,SGN
0.4663,-0.6514,1.8796,0.4268,1.8293,1.2805,,,,SGN
0.4334,-0.6611,1.8779,0.5183,0.3659,0.3354,,,,SGN
0.4807,-0.6528,1.8850,0.4878,1.2805,-0.7317,,,,SGN
0.4661,-0.6587,1.8911,0.4878,2.5000,-1.1585,,,,SGN
0.4390,-0.6697,1.8848,0.3049,1.9512,-1.5244,,,,SGN
0.4294,-0.6736,1.8752,0.0610,0.9146,-2.0732,,,,SGN
0.4385,-0.6711,1.8740,0.0610,0.7317,-1.7073,,,,SGN
0.4526,-0.6660,1.8799,0.4268,1.4634,-1.6463,,,,SGN
0.4465,-0.6663,1.8713,0.5488,1.9512,-1.5854,,,,SGN
,,,,,,-11.0000,-62.3125,-1.1250,SGN
0.4235,-0.6591,1.8716,0.0610,0.8232,-1.5244,,,,SGN
0.4270,-0.6519,1.8738,-0.2439,-0.2439,-1.5854,,,,SGN
0.4304,-0.6575,1.8691,-0.7317,-0.1220,-0.9146,,,,SGN
0.4285,-0.6638,1.8726,-0.6707,-0.1829,-0.3659,,,,SGN
0.4229,-0.6729,1.8733,-0.8537,-0.4878,0.5488,,,,SGN
0.4243,-0.6787,1.8799,-0.6707,-0.6098,1.0366,,,,SGN
0.4302,-0.6797,1.8816,-0.6707,-0.4878,2.0122,,,,SGN
0.4368,-0.6772,1.8796,-0.2439,-0.3049,2.3171,,,,SGN
0.4382,-0.6704,1.8843,0.0610,-0.5488,3.0488,,,,SGN
0.4456,-0.6687,1.8916,0.1220,-0.4878,2.8049,-12.0625,-62.6875,-2.3125,SGN
0.4495,-0.6660,1.8914,0.6098,-0.4878,2.1341,,,,SGN
0.4487,-0.6661,1.8880,0.4878,-0.8232,1.1890,,,,SGN
0.4529,-0.6606,1.8806,0.6707,-1.2805,0.3659,,,,SGN
0.4595,-0.6541,1.8870,0.2439,-0.7317,-0.4878,,,,SGN
0.4592,-0.6555,1.8899,0.4878,0.1829,-0.8537,,,,SGN
0.4583,-0.6665,1.8818,0.3049,1.0366,-1.2805,,,,SGN
0.4561,-0.6643,1.8770,0.3049,1.1585,-1.5244,,,,SGN
0.4460,-0.6624,1.8789,0.3659,1.8293,-1.7683,,,,SGN
,,,,,,-11.3125,-62.6875,-2.7500,SGN
0.4351,-0.6675,1.8687,0.7317,1.4634,-1.4634,,,,SGN
0.4323,-0.6654,1.8748,0.3049,1.0061,-1.4939,,,,SGN
0.4333,-0.6672,1.8772,0.2439,0.7317,-1.2805,,,,SGN
0.4242,-0.6587,1.8654,-0.2135,-0.1220,-1.1585,,,,SGN
0.4204,-0.6606,1.8662,-0.8537,-0.6707,-0.6707,,,,SGN
0.4219,-0.6699,1.8743,-0.7317,-0.8537,0.1220,,,,SGN
0.4343,-0.6733,1.8843,-0.4268,-0.4878,1.0366,,,,SGN
0.4434,-0.6785,1.8889,-0.3049,-0.1829,1.5854,,,,SGN
0.4390,-0.6821,1.8906,0.0610,0.1829,2.5610,,,,SGN
0.4329,-0.6755,1.8843,0.0610,-0.3659,2.5000,-11.3125,-62.6875,-1.5625,SGN
0.4370,-0.6699,1.8850,0.5488,-0.7317,2.5000,,,,SGN
0.4399,-0.6667,1.8884,0.1220,-0.8537,1.9512,,,,SGN
0.4468,-0.6609,1.8860,0.6098,-0.8537,1.5854,,,,SGN
0.4583,-0.6577,1.8884,0.3659,-0.7317,1.2195,,,,SGN
0.4617,-0.6589,1.8901,0.6707,0.0000,0.0610,,,,SGN
0.4570,-0.6565,1.8823,0.4268,0.6098,-0.0610,,,,SGN
0.4541,-0.6533,1.8840,0.1829,0.9146,-0.7317,,,,SGN
0.4541,-0.6631,1.8884,0.4268,1.5244,-1.2805,,,,SGN
