ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.2559,-0.6218,1.9104,,,,,,,SGN
0.3010,-0.6328,1.8792,-0.1829,-5.9146,6.3110,,,,SGN
0.3525,-0.6299,1.8853,-0.3659,-10.4268,6.4634,,,,SGN
0.4470,-0.6411,1.8611,,,,-9.8750,-63.8125,-1.9375,SGN
0.5591,-0.6265,1.8601,1.0671,-6.6463,4.6341,,,,SGN
0.5603,-0.6331,1.8757,0.3049,3.5976,4.6951,,,,SGN
0.4600,-0.6340,1.8838,-0.0610,7.0122,4.8780,,,,SGN
0.3984,-0.6331,1.8652,-0.0610,6.7073,4.5732,,,,SGN
0.3882,-0.6301,1.8401,-0.3659,7.0122,4.8780,,,,SGN
0.3640,-0.6309,1.8499,0.0610,5.9146,5.6707,,,,SGN
0.3643,-0.6287,1.8860,0.4268,3.7195,6.4634,,,,SGN
0.3713,-0.6584,1.9194,2.2561,1.5854,6.8293,,,,SGN
0.3687,-0.6833,1.8960,2.9878,0.6707,5.3659,-9.5000,-64.5625,-3.1250,SGN
0.4036,-0.6672,1.8831,3.1707,1.2195,4.7561,,,,SGN
0.4324,-0.6616,1.9109,3.0488,2.9268,4.2683,,,,SGN
0.4102,-0.6550,1.9453,2.8659,2.8049,4.4512,,,,SGN
0.3833,-0.6438,1.9326,2.1951,1.4634,4.5732,,,,SGN
0.3699,-0.6360,1.9104,2.2561,-0.4268,4.6951,,,,SGN
0.3623,-0.6365,1.8872,2.3780,-1.4024,4.3293,,,,SGN
0.3730,-0.6467,1.8826,3.0488,-1.5854,4.3902,,,,SGN
0.4165,-0.6499,1.8770,2.4390,-0.5488,4.1463,,,,SGN
0.4597,-0.6465,1.9067,2.1341,1.3415,5.1829,,,,SGN
0.4495,-0.6504,1.9412,1.5854,2.8659,5.6098,,,,SGN
,,,,,,-9.5000,-64.8750,-1.9375,SGN
0.4131,-0.6680,1.9297,1.8293,2.9268,5.4268,,,,SGN
0.3813,-0.6748,1.8835,1.5854,2.7439,3.9634,,,,SGN
0.3579,-0.6685,1.8755,1.5854,2.3780,3.2317,,,,SGN
0.3589,-0.6672,1.8826,1.6463,2.5000,3.0488,,,,SGN
0.4062,-0.6511,1.9031,1.2805,1.9512,3.4146,,,,SGN
0.3757,-0.6304,1.9016,1.4024,0.7317,4.9390,,,,SGN
0.3213,-0.6338,1.8743,1.3415,-2.3780,4.3293,,,,SGN
0.3171,-0.6340,1.8948,0.4878,-0.0610,0.1220,,,,SGN
0.3647,-0.6433,1.8999,0.7927,-0.6098,1.0366,,,,SGN
,,,,,,-7.6875,-64.8750,-1.9375,SGN
0.3795,-0.6217,1.9129,1.0976,-2.6829,0.3659,,,,SGN
0.3901,-0.6267,1.8962,0.7317,-3.9024,0.3659,,,,SGN
0.4058,-0.6194,1.9019,0.0610,-1.5244,0.5488,,,,SGN
0.3896,-0.6318,1.8677,0.8537,-4.1463,3.7195,,,,SGN
0.3276,-0.6321,1.8796,1.1585,-6.5854,3.4756,,,,SGN
0.3618,-0.6157,1.9800,-0.3049,-2.3171,0.9756,,,,SGN
0.4502,-0.6372,1.9436,-1.2805,0.0610,3.1098,,,,SGN
0.3958,-0.6428,1.8892,-0.9756,1.1585,1.6463,,,,SGN
0.3347,-0.6069,1.8860,-1.6463,-1.1585,0.1829,,,,SGN
