ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.8943,-0.7498,0.2737,-0.7927,2.3171,-0.6707,,,,SGN
1.8884,-0.7600,0.2651,-1.0366,3.3537,-0.8537,,,,SGN
1.8860,-0.7751,0.2505,-0.6707,4.0244,-0.8537,,,,SGN
1.8882,-0.7854,0.2502,-0.4878,3.5976,-0.6098,,,,SGN
1.8745,-0.7830,0.2664,-0.3049,2.5000,0.0610,,,,SGN
1.8535,-0.7725,0.2769,-0.8537,0.4878,0.0610,,,,SGN
1.8562,-0.7568,0.2783,-0.8537,-1.8293,-0.3659,,,,SGN
1.8682,-0.7466,0.2749,-0.9756,-3.9634,-0.5488,,,,SGN
,,,,,,-50.0000,-74.3750,3.9375,SGN
1.8604,-0.7495,0.2705,-0.4268,-6.9512,-0.4878,,,,SGN
1.8272,-0.7279,0.2752,-1.1890,-5.6402,-1.9512,,,,SGN
1.9478,-0.7090,0.2395,-2.3780,3.2927,-1.5244,,,,SGN
2.0205,-0.7378,0.2095,-0.9756,5.3659,-0.0610,,,,SGN
1.8975,-0.7402,0.2256,-0.8537,7.0122,0.0000,,,,SGN
1.8335,-0.7415,0.2476,-1.0366,4.2073,-0.2439,,,,SGN
1.8047,-0.7710,0.2330,-0.1525,-2.5610,0.3659,,,,SGN
1.7942,-0.7598,0.2471,0.1220,-7.5610,-0.6098,,,,SGN
,,,,,,-50.7500,-74.0000,2.3125,SGN
1.8562,-0.7577,0.2590,-0.3049,-5.3354,-0.9451,,,,SGN
1.9526,-0.7717,0.2446,0.4878,2.0732,-0.3659,,,,SGN
1.9556,-0.7615,0.2385,0.8537,5.6098,-0.3049,,,,SGN
1.9155,-0.7490,0.2327,0.9756,6.5244,0.0610,,,,SGN
1.8938,-0.7522,0.2346,1.3415,4.2073,0.0610,,,,SGN
1.8760,-0.7637,0.2512,1.4634,0.8537,0.3049,,,,SGN
1.8557,-0.7534,0.2605,1.5244,-1.5854,0.4268,,,,SGN
1.8542,-0.7329,0.2673,1.4634,-1.7683,-0.0610,,,,SGN
1.8743,-0.7241,0.2725,0.9146,-1.1585,-0.0610,,,,SGN
1.8948,-0.7307,0.2732,0.5488,0.4268,0.0000,-50.3750,-74.7500,2.7500,SGN
1.9070,-0.7485,0.2734,0.4878,2.9268,0.3049,,,,SGN
1.8933,-0.7578,0.2578,0.6707,4.5732,0.0610,,,,SGN
1.8748,-0.7534,0.2473,0.5488,4.8780,-0.4268,,,,SGN
1.8792,-0.7488,0.2590,0.1220,4.8171,-0.4878,,,,SGN
1.9070,-0.7542,0.2710,,,,,,,SGN
