ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
,,,,,,-46.3750,-72.9375,0.3750,SGN
1.8568,-0.7096,0.4389,1.0366,0.1829,1.0061,,,,SGN
1.8669,-0.7224,0.4495,1.1585,-0.2439,0.8537,,,,SGN
1.8745,-0.7229,0.4509,1.0976,0.8537,0.7927,,,,SGN
1.8733,-0.7095,0.4470,0.3049,2.3171,0.4268,,,,SGN
1.8569,-0.6951,0.4685,-0.1829,2.8659,-0.2439,,,,SGN
1.8352,-0.7014,0.4729,0.2439,2.6220,-0.2439,,,,SGN
1.8423,-0.7087,0.4363,0.4268,1.7683,-0.0610,,,,SGN
1.8625,-0.7087,0.4346,0.2439,1.8902,-0.5488,,,,SGN
1.8828,-0.7129,0.4553,-0.0610,2.8049,-0.1220,,,,SGN
1.8765,-0.7136,0.4543,-0.5488,3.7195,0.1829,-47.4375,-74.0000,0.0000,SGN
1.8618,-0.7231,0.4504,0.0610,3.4146,0.4268,,,,SGN
1.8389,-0.7332,0.4465,1.8293,3.7195,-0.0610,,,,SGN
1.8320,-0.7153,0.4475,1.5854,4.8171,-1.2805,,,,SGN
1.8528,-0.6958,0.4380,0.5488,5.3049,-1.0976,,,,SGN
1.8457,-0.7122,0.4419,1.0366,2.9878,0.0000,,,,SGN
1.8228,-0.7446,0.4563,3.2927,0.4268,0.6707,,,,SGN
1.8092,-0.7291,0.4317,3.5671,0.7927,-0.8841,,,,SGN
1.8516,-0.7158,0.3862,3.4756,0.1829,-0.9756,,,,SGN
,,,,,,-47.4375,-74.0000,0.7500,SGN
1.8754,-0.7144,0.4232,3.6280,-2.6220,0.0610,,,,SGN
1.8608,-0.6694,0.5251,3.2927,-0.7927,-1.2805,,,,SGN
1.8313,-0.6843,0.5042,2.8659,2.0732,-1.8902,,,,SGN
1.7984,-0.7239,0.4571,2.1646,-4.1768,-1.6159,,,,SGN
1.7952,-0.7295,0.4753,1.6463,-19.2683,1.2195,,,,SGN
1.8818,-0.7017,0.4983,1.4634,-27.8049,2.2561,,,,SGN
1.9849,-0.6753,0.5143,-0.7927,-21.5243,0.2439,,,,SGN
,,,,,,-48.5625,-73.3125,0.3750,SGN
1.9400,-0.7111,0.4510,-3.8415,0.6402,-2.3476,,,,SGN
1.8521,-0.7327,0.4226,-2.5000,3.7805,-0.1220,,,,SGN
1.8289,-0.7017,0.3813,-2.5610,1.6463,2.1341,,,,SGN
1.8378,-0.6903,0.3854,-1.6463,1.7073,0.3963,,,,SGN
1.8328,-0.6799,0.4207,-0.9756,1.4634,0.5488,,,,SGN
1.8367,-0.6870,0.4214,-1.0976,2.0122,0.1220,,,,SGN
1.8254,-0.7070,0.4055,-0.2439,1.2195,-0.0610,,,,SGN
1.8293,-0.7129,0.3989,0.3659,-1.8902,-0.6707,,,,SGN
1.8442,-0.7083,0.3779,0.1220,-2.5610,-1.2195,-47.4375,-73.3125,0.7500,SGN
1.8760,-0.6951,0.3660,-0.8537,3.1098,-2.3171,,,,SGN
1.9712,-0.7234,0.3926,-1.2195,9.0854,-1.5854,,,,SGN
1.9028,-0.7371,0.3896,0.9756,10.3659,-0.6707,,,,SGN
1.8062,-0.6973,0.3789,1.4024,4.8171,-1.5244,,,,SGN
1.8327,-0.7144,0.4127,2.9878,2.5915,-1.5549,,,,SGN
1.8948,-0.7153,0.4478,3.3537,4.7561,-1.8293,,,,SGN
1.9041,-0.6922,0.4664,3.1707,9.1159,-2.4695,,,,SGN
,,,,,,-47.0625,-73.3125,0.0000,SGN
1.8909,-0.6870,0.4680,2.5610,11.1585,-3.5976,,,,SGN
1.8337,-0.7032,0.4812,1.8598,9.6341,-3.7195,,,,SGN
1.8655,-0.6892,0.4985,0.9146,11.1585,-3.8415,,,,SGN
1.9075,-0.6977,0.4900,0.0915,13.0488,-4.3293,,,,SGN
1.8734,-0.7077,0.5100,-0.9756,12.6524,-4.2683,,,,SGN
1.8374,-0.6917,0.5151,-1.7683,10.6707,-3.8415,,,,SGN
1.8340,-0.6692,0.5142,-2.0122,9.2073,-3.4756,,,,SGN
1.8440,-0.6484,0.5183,-1.3415,10.0610,-1.9512,-47.8125,-74.0000,-0.7500,SGN
1.8926,-0.6641,0.4880,-1.2805,4.8171,0.9756,,,,SGN
1.8743,-0.6909,0.4570,-0.3049,1.8293,0.9146,,,,SGN
1.8535,-0.6908,0.4907,0.6707,4.6341,0.4268,,,,SGN
1.7991,-0.6975,0.4983,,,,,,,SGN
,,,3.1707,3.9024,0.7927,,,,SGN
1.7797,-0.6689,0.4755,1.4024,-0.0305,0.2744,,,,SGN
1.8691,-0.6709,0.4885,0.1220,-1.5244,0.9756,,,,SGN
1.9211,-0.7017,0.4890,0.1220,0.0610,2.0732,-46.3750,-73.6250,-0.7500,SGN
1.9204,-0.6987,0.4705,0.7927,1.5854,1.8902,,,,SGN
1.9031,-0.6729,0.4736,0.0000,3.7195,0.7927,,,,SGN
1.8396,-0.6706,0.4827,-0.7317,2.8659,0.6707,,,,SGN
1.8062,-0.6736,0.5315,-1.5244,-0.0610,-0.2439,,,,SGN
1.8446,-0.7182,0.5137,-0.7622,-3.2927,1.0061,,,,SGN
1.8918,-0.7441,0.4800,0.2439,-6.0366,2.1951,,,,SGN
1.9266,-0.7157,0.4751,1.3110,-3.8720,3.4451,,,,SGN
,,,,,,-47.8125,-75.8125,-0.3750,SGN
1.8938,-0.6580,0.4846,0.4878,-0.4878,2.8049,,,,SGN
1.8752,-0.6709,0.4883,0.0915,0.5488,3.0183,,,,SGN
1.8774,-0.7112,0.4968,0.1220,0.0610,3.7805,,,,SGN
1.8533,-0.6872,0.5095,-0.5183,0.2744,3.0183,,,,SGN
1.8242,-0.6860,0.5037,-0.9146,-0.8537,3.1707,,,,SGN
1.8102,-0.7035,0.4750,-0.5183,-3.3841,3.1402,,,,SGN
1.8455,-0.6970,0.4578,-0.6098,-2.9268,2.2561,,,,SGN
1.8574,-0.6868,0.4968,-0.4878,1.5854,0.3659,-47.0625,-74.3750,-0.3750,SGN
1.8259,-0.6958,0.5020,-0.8537,6.2195,-0.9756,,,,SGN
1.7791,-0.7058,0.4968,-0.1829,5.9146,-2.2561,,,,SGN
1.7826,-0.7196,0.4711,0.0915,-1.3110,-2.0122,,,,SGN
1.8523,-0.7334,0.4824,-0.3049,-2.9878,-3.1098,,,,SGN
1.8888,-0.7304,0.5016,-0.2439,2.3476,-3.3537,,,,SGN
