ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.5154,-0.6697,1.8655,-0.4268,-0.2439,1.2195,,,,SGN
0.5048,-0.6673,1.8612,-0.1220,0.3963,1.0976,,,,SGN
0.4841,-0.6624,1.8726,-0.3049,-0.7317,1.4634,,,,SGN
0.4932,-0.6692,1.8696,-0.3659,-1.4024,1.0976,,,,SGN
0.5166,-0.6772,1.8652,-0.1829,-0.7927,1.4024,-14.6250,-62.3125,-1.9375,SGN
0.5117,-0.6790,1.8613,-0.3049,1.0366,1.4024,,,,SGN
0.4919,-0.6777,1.8606,0.1220,0.4268,1.1585,,,,SGN
0.4756,-0.6709,1.8647,-0.3659,-0.9756,1.3415,,,,SGN
0.4829,-0.6704,1.8650,-0.4878,-1.7073,1.2805,,,,SGN
0.5027,-0.6704,1.8643,-0.6707,-1.9512,1.8293,,,,SGN
0.5073,-0.6621,1.8704,-0.8537,-1.7683,1.6463,,,,SGN
0.4973,-0.6680,1.8699,-0.3659,-1.4024,1.8902,,,,SGN
0.4949,-0.6633,1.8369,-0.3659,-0.4268,2.6220,,,,SGN
0.5049,-0.6655,1.8589,-0.1220,-0.4878,2.6220,-15.3750,-61.6250,-1.1250,SGN
0.4851,-0.6667,1.9136,-1.0366,-1.5244,2.0122,,,,SGN
0.4690,-0.6748,1.8621,-0.6707,-3.1098,2.5610,,,,SGN
0.5217,-0.6646,1.8438,-0.5488,-2.6220,2.3780,,,,SGN
0.5364,-0.6550,1.8562,-0.4268,-0.0610,1.9512,,,,SGN
0.5093,-0.6658,1.8564,-0.0610,1.0976,1.8902,,,,SGN
0.5007,-0.6804,1.8462,0.3659,0.3659,1.7073,,,,SGN
0.5042,-0.6797,1.8684,0.3049,-0.0610,1.2805,,,,SGN
0.4990,-0.6821,1.8806,-0.4268,-0.7317,1.4024,,,,SGN
0.4834,-0.6892,1.8816,-0.1829,-2.3780,0.7927,,,,SGN
0.4617,-0.6765,1.8911,-0.1829,-4.3902,1.0976,,,,SGN
,,,,,,-13.5000,-62.0000,-2.3125,SGN
0.4720,-0.6676,1.8599,-0.3963,-6.2805,1.2805,,,,SGN
0.5044,-0.6704,1.8521,-0.4268,-5.6707,1.5244,,,,SGN
0.5420,-0.6758,1.8235,0.2439,-4.0854,1.7073,,,,SGN
0.5752,-0.6641,1.8369,0.1829,-1.7073,1.6463,,,,SGN
