ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.2952,-0.1824,2.3564,-11.7683,3.9024,4.4512,,,,SGN
0.2263,-0.3308,2.1458,-12.8049,8.4756,0.8537,,,,SGN
0.1047,-0.4536,1.8442,-11.3415,-2.5610,-3.9634,,,,SGN
0.0576,-0.4458,1.7468,-10.0610,-23.5366,-1.6463,,,,SGN
0.0869,-0.3167,1.8982,-10.3049,-31.2805,2.1951,,,,SGN
0.1848,-0.2058,2.0203,-12.3171,-21.2805,2.8049,,,,SGN
0.2292,-0.1716,2.0754,-12.9878,-4.2073,-0.3659,,,,SGN
0.1575,-0.1807,2.0710,-12.6220,6.8293,-3.2927,-0.3750,-71.8125,-4.3125,SGN
0.0979,-0.1650,2.0234,-12.8659,7.3171,-4.5122,,,,SGN
0.1204,-0.1636,1.9382,-11.5244,1.6463,-2.8659,,,,SGN
0.1729,-0.1738,1.8801,-7.8659,-4.0244,-1.1585,,,,SGN
0.1567,-0.1699,1.8201,-5.6098,-8.5366,-0.1829,,,,SGN
0.1304,-0.1555,1.8115,-3.1098,-12.6220,0.5488,,,,SGN
0.2007,-0.1270,1.8811,-1.3415,-15.5488,2.2561,,,,SGN
0.2339,-0.1050,1.9602,-1.0366,-13.2927,3.7805,,,,SGN
0.2156,-0.0908,1.9634,-0.8537,-9.3293,3.9634,,,,SGN
0.1738,-0.0857,1.9583,-1.0976,-6.3415,4.0244,,,,SGN
0.1719,-0.0857,1.9426,-1.3415,-4.3902,3.1098,,,,SGN
,,,,,,0.0000,-71.8125,-4.3125,SGN
0.2348,-0.0771,1.9198,-0.7317,-1.2195,3.0183,,,,SGN
0.3110,-0.0955,1.9294,0.5488,6.1585,3.9634,,,,SGN
0.3035,-0.1218,1.9714,1.7073,11.0366,3.0488,,,,SGN
0.2737,-0.1421,2.0745,2.3780,13.9024,2.3171,,,,SGN
0.2244,-0.1558,2.1309,1.7073,8.7195,3.0488,,,,SGN
0.1211,-0.1804,2.1406,0.4268,2.9268,2.1951,,,,SGN
0.1018,-0.2501,2.0842,-2.2256,-5.0000,2.2256,,,,SGN
0.1599,-0.3054,2.0410,-2.8049,-7.9878,1.8293,,,,SGN
