ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.8809,-0.1399,2.1680,2.0732,-3.2317,-16.5549,,,,SGN
0.6812,-0.1299,2.2395,-2.1951,47.7439,-22.0732,,,,SGN
0.6157,-0.2144,2.1484,-4.3902,61.8902,-17.5610,,,,SGN
0.4905,-0.2329,2.0891,-4.9390,57.5000,-16.0976,,,,SGN
0.4207,-0.2385,2.1240,-5.9146,48.9024,-14.1463,,,,SGN
0.6406,-0.2293,2.0246,-7.3780,33.4147,-10.1829,,,,SGN
0.5381,-0.1387,2.0232,-10.7317,27.5610,-9.3293,,,,SGN
,,,,,,-14.6250,-61.6250,-4.3125,SGN
0.3545,-0.2072,2.1055,-12.2256,15.0915,-5.4573,,,,SGN
0.2456,-0.2961,2.1279,-11.5244,-0.7927,-1.0366,,,,SGN
0.4214,-0.2534,2.0732,-11.7073,-5.9146,-0.5488,,,,SGN
0.5483,-0.2551,1.9585,-7.5610,0.0000,1.2195,,,,SGN
0.5701,-0.2688,1.7183,,,,,,,SGN
0.5493,-0.2666,1.6260,-5.9756,6.0976,3.1098,,,,SGN
0.4934,-0.2302,1.5171,-1.6768,1.2500,7.1037,,,,SGN
0.4893,-0.1399,1.8538,,,,,,,SGN
0.5254,-0.0784,1.9331,0.4878,-5.7927,14.2073,,,,SGN
,,,-4.2073,-11.9512,18.7805,-15.0000,-62.6875,-2.7500,SGN
0.4919,-0.1341,2.0073,-6.3415,-3.1707,21.7073,,,,SGN
0.6560,-0.2747,1.8906,-6.7073,13.3537,20.8537,,,,SGN
0.6304,-0.3096,1.8335,-4.8171,35.4268,22.4390,,,,SGN
0.4167,-0.3232,1.8228,-2.3780,43.5366,24.2683,,,,SGN
0.2737,-0.3530,1.7898,0.5488,37.7439,23.9024,,,,SGN
0.2209,-0.3821,1.7854,2.8049,29.6341,24.5732,,,,SGN
0.2285,-0.3848,1.7996,4.8780,21.8293,25.7927,,,,SGN
0.2544,-0.3853,1.8506,7.3780,17.3171,25.6098,,,,SGN
0.2612,-0.3884,1.8916,9.5732,16.9512,23.7805,-11.6875,-62.6875,-3.9375,SGN
0.2549,-0.3660,1.9084,9.6341,17.8659,21.7683,,,,SGN
0.1980,-0.3528,1.9531,9.3902,17.4390,19.7561,,,,SGN
0.1208,-0.3691,1.9863,9.0244,15.0610,17.8659,,,,SGN
0.0491,-0.4021,1.9839,9.9390,11.6463,16.0366,,,,SGN
-0.0132,-0.4124,1.9312,9.0244,6.3415,13.7195,,,,SGN
-0.0112,-0.3945,1.9607,8.2927,0.3049,10.8537,,,,SGN
0.0042,-0.3923,1.9924,7.6829,-3.1707,8.7805,,,,SGN
0.0154,-0.3882,2.0112,6.8293,-2.0732,6.3415,,,,SGN
0.0173,-0.3850,2.0269,7.0122,-1.4024,4.2683,,,,SGN
0.0002,-0.3948,2.0361,6.5244,-3.2317,2.7439,,,,SGN
,,,,,,-9.1250,-63.8125,-4.3125,SGN
-0.0417,-0.3940,2.0276,5.9146,-7.1341,2.0122,,,,SGN
0.0866,-0.3658,2.0335,5.5183,-10.3354,1.1890,,,,SGN
0.2263,-0.3589,2.0476,6.3415,-4.9390,1.2805,,,,SGN
0.2405,-0.3428,2.0386,5.9146,-0.1829,0.0000,,,,SGN
0.2449,-0.3367,2.0381,6.4634,2.1951,-0.3659,,,,SGN
0.3311,-0.3387,2.0250,7.7439,4.4207,-0.2743,,,,SGN
0.4019,-0.3293,2.0210,9.2073,5.7317,1.7073,,,,SGN
0.3259,-0.3347,2.0020,11.7683,2.8049,2.3171,,,,SGN
0.2139,-0.3416,1.9631,12.1951,-5.9146,3.0488,,,,SGN
0.1917,-0.3203,2.0027,10.7317,-22.9878,4.4512,-10.6250,-64.5000,-4.6875,SGN
0.2297,-0.2883,2.0439,9.6341,-32.2561,6.7683,,,,SGN
0.3145,-0.2098,2.2351,3.5366,-31.1585,9.2073,,,,SGN
,,,-0.1829,-31.3415,10.1829,,,,SGN
0.3896,-0.2144,2.3516,-4.2073,-29.3902,11.8293,,,,SGN
0.3706,-0.2528,2.2351,-6.9207,-26.4939,10.4573,,,,SGN
0.2737,-0.3279,2.0334,-5.2439,-25.3659,9.1463,,,,SGN
0.0786,-0.3524,1.8317,-3.2012,-38.6281,7.4390,,,,SGN
,,,,,,-9.8750,-63.8125,-5.8750,SGN
0.0149,-0.3049,1.7322,-4.7561,-51.3415,5.2439,,,,SGN
0.2072,-0.2556,1.9167,-4.6037,-52.4390,6.1890,,,,SGN
0.3733,-0.2532,1.9893,-5.3049,-42.0732,3.4146,,,,SGN
0.3907,-0.2894,1.9940,-4.8171,-36.1586,-2.4085,,,,SGN
0.3708,-0.2637,2.0244,-5.5488,-35.6707,-5.0610,,,,SGN
0.2800,-0.2784,2.0497,-7.5915,-34.9086,-8.3232,,,,SGN
0.3250,-0.3030,2.0391,-8.7805,-30.6098,-10.7927,,,,SGN
0.3264,-0.3291,2.0347,-8.5976,-16.5244,-14.5732,-13.5000,-64.5000,-5.5000,SGN
0.3206,-0.3613,1.9712,-8.5976,0.3049,-19.8780,,,,SGN
0.3364,-0.3669,1.9109,-7.0122,7.1951,-20.7927,,,,SGN
0.3022,-0.3517,1.8805,-5.4878,3.6585,-19.5732,,,,SGN
,,,-3.1098,-5.3049,-18.5366,,,,SGN
0.2908,-0.3237,1.8325,-0.2439,-14.2683,-18.1098,,,,SGN
0.3965,-0.3042,1.8040,1.0976,-18.2927,-17.1341,,,,SGN
0.5986,-0.2651,1.8467,2.4390,-14.8171,-15.9146,,,,SGN
0.6794,-0.2393,1.8647,2.7439,-5.0000,-14.3902,,,,SGN
0.6616,-0.2087,1.9270,3.1707,6.2195,-14.9390,-13.1875,-63.0625,-4.6875,SGN
0.6047,-0.2114,1.9856,3.1098,16.9512,-15.0610,,,,SGN
0.5461,-0.2395,2.0142,3.3537,23.9024,-13.3537,,,,SGN
0.4838,-0.2634,2.0051,4.4817,21.5853,-9.2988,,,,SGN
0.4658,-0.3027,1.9275,6.8902,12.0732,-4.3902,,,,SGN
0.4845,-0.3178,1.8591,6.8293,4.2073,-1.9512,,,,SGN
0.5608,-0.3120,1.8687,7.1951,0.7317,-1.4024,,,,SGN
,,,6.9512,2.3171,-1.0976,,,,SGN
0.5962,-0.2712,1.9377,5.4878,6.7683,-1.4634,,,,SGN
0.5232,-0.2537,2.0515,4.3293,13.5976,-2.7439,-14.2500,-62.3125,-5.5000,SGN
0.4517,-0.2598,2.0820,3.4146,18.4146,-3.8415,,,,SGN
0.4095,-0.2606,2.0351,0.4573,17.5610,-3.2927,,,,SGN
0.3987,-0.2961,2.0681,1.6463,16.8293,-2.2561,,,,SGN
0.3666,-0.3065,1.9160,1.1890,8.1707,-1.7378,,,,SGN
0.2937,-0.2478,1.9849,4.0244,-2.5610,-3.8415,,,,SGN
0.3818,-0.2318,2.0144,1.7073,-5.1220,-3.9024,,,,SGN
0.3816,-0.2290,2.0859,0.5488,-7.9878,-2.9268,,,,SGN
0.3899,-0.2527,2.0271,-0.4268,-12.9268,-1.4634,-12.4375,-64.1875,-5.1250,SGN
