ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.2209,-0.0454,2.0125,0.7927,0.7927,-0.0610,,,,SGN
0.1877,-0.0425,2.0137,0.4269,-1.2500,-0.0610,,,,SGN
0.2024,-0.0491,2.0090,0.2439,-2.9268,0.2439,,,,SGN
0.2334,-0.0540,2.0159,0.6707,-2.6220,0.3659,,,,SGN
0.2400,-0.0663,2.0122,2.2866,-1.7073,0.4878,,,,SGN
0.2085,-0.0593,2.0203,2.4390,-2.5000,0.3659,,,,SGN
0.1853,-0.0557,2.0312,3.2927,-5.3049,1.2805,,,,SGN
0.2231,-0.0415,2.0688,2.6829,-8.8415,-0.0610,-6.2500,-69.6250,-7.8750,SGN
0.2505,-0.0708,2.1169,3.0488,-11.1585,0.6098,,,,SGN
0.3388,-0.1432,2.0840,1.6768,-4.3598,-1.4634,,,,SGN
0.3596,-0.1392,2.0789,3.2317,-1.4634,-5.3659,,,,SGN
-0.0132,-0.1431,2.0144,1.4024,-21.5854,-3.0488,,,,SGN
-0.3418,-0.1528,2.0249,0.5488,-54.4512,-0.8537,,,,SGN
-0.3564,-0.1626,2.0649,2.4390,-82.7439,-5.3659,,,,SGN
-0.1113,-0.1250,2.0520,1.1585,-102.1951,-6.3415,,,,SGN
0.1152,-0.0811,2.0286,0.6707,-119.3902,-3.2927,,,,SGN
0.2754,-0.0459,2.0227,-2.0122,-122.8659,0.3659,,,,SGN
,,,,,,-9.1250,-68.5625,-7.4375,SGN
0.5868,-0.0009,2.0292,-3.5366,-117.7439,1.8902,,,,SGN
0.9011,-0.0437,2.0178,-12.8659,-85.4878,4.6951,,,,SGN
0.9319,0.0315,1.9695,-11.0976,-53.3537,-2.2561,,,,SGN
0.9954,0.0757,1.9824,-13.8110,-1.0061,-7.4390,,,,SGN
0.9460,0.0964,1.7759,-7.3780,34.6951,-7.8659,,,,SGN
0.5093,0.0630,1.6812,-3.1707,22.1341,-3.7805,,,,SGN
0.3518,-0.0125,1.7085,0.5488,11.2195,6.2195,,,,SGN
0.5449,-0.0073,1.6687,1.0976,6.0976,8.7195,,,,SGN
0.5732,-0.0068,1.7812,,,,,,,SGN
0.5237,-0.0183,1.8115,2.0122,27.2561,8.1402,-10.6250,-67.4375,-8.6250,SGN
0.5139,0.0188,1.8467,8.2927,48.1707,4.2073,,,,SGN
0.4097,0.1631,1.9390,,,,,,,SGN
0.4377,0.1812,1.9404,4.5122,46.2805,11.8293,,,,SGN
0.4924,0.0493,2.0447,1.9512,52.1951,12.4085,,,,SGN
0.2992,-0.0086,1.9758,-1.9512,54.2683,8.2927,,,,SGN
0.5664,0.0928,2.0220,4.0244,54.9390,10.9756,,,,SGN
0.4966,-0.0083,2.0491,-1.2195,68.4146,12.2561,,,,SGN
0.2406,-0.0692,2.0247,3.5976,74.1768,12.4390,,,,SGN
,,,6.2195,68.2927,7.6220,-7.3125,-70.3750,-7.0625,SGN
0.3508,-0.0847,2.0693,,,,,,,SGN
0.2229,-0.0740,2.0166,7.4390,59.2988,6.9207,,,,SGN
,,,15.7317,30.1220,-2.2561,,,,SGN
-0.0017,-0.0173,1.8779,19.3902,-12.8659,-6.6463,,,,SGN
0.1289,-0.2220,2.0768,4.4512,-11.2195,15.0610,,,,SGN
,,,2.6220,-7.5610,13.5976,,,,SGN
-0.0038,-0.1214,2.2033,5.4878,-15.7927,0.7317,,,,SGN
-0.2661,-0.0466,2.1255,-1.4634,-23.7500,-1.6768,,,,SGN
-0.1536,-0.1462,2.0349,-2.0122,-46.1585,-0.7927,,,,SGN
0.0728,-0.1123,2.0127,-0.7927,-54.6951,-2.5610,-6.6250,-69.6250,-7.0625,SGN
0.2473,-0.0664,1.9243,0.1829,-57.0732,-5.4878,,,,SGN
0.3892,-0.0698,1.9155,0.2439,-55.5488,-3.2927,,,,SGN
0.5676,-0.0640,1.9578,2.3780,-43.0488,-2.8963,,,,SGN
0.6833,-0.0527,1.9871,2.3780,-23.7805,-4.8171,,,,SGN
0.7334,-0.0292,2.0351,2.6524,0.4573,-7.1646,,,,SGN
0.3538,-0.0042,2.1177,-2.9878,7.8049,-7.7439,,,,SGN
-0.0447,-0.0474,2.1770,-2.6829,-21.5244,1.8293,-8.0625,-68.8750,-7.4375,SGN
-0.1321,-0.0876,1.9519,-4.7561,-39.5732,2.8659,,,,SGN
0.0986,-0.0398,1.9465,-4.0854,-52.1951,-0.6707,,,,SGN
0.3064,-0.0767,1.9688,-3.5976,-48.5976,-0.7927,,,,SGN
0.4158,-0.0347,1.9749,-1.6463,-47.8659,0.2439,,,,SGN
0.4921,0.0085,1.9350,-1.0976,-37.8659,-0.2744,,,,SGN
0.4873,-0.0154,1.9041,0.2439,-31.5854,0.1829,,,,SGN
0.5215,-0.0007,1.9058,2.4390,-26.1585,0.4268,,,,SGN
0.6537,0.0441,1.9326,1.1585,-15.3049,2.0732,,,,SGN
,,,2.1951,-2.2561,2.9878,,,,SGN
,,,,,,-10.6250,-68.1875,-8.6250,SGN
0.6311,0.0220,1.9350,0.7012,15.2744,4.4817,,,,SGN
0.5669,-0.0022,1.9458,1.1585,26.5244,5.8537,,,,SGN
0.5413,0.0034,1.9431,0.0000,30.8537,4.4512,,,,SGN
0.4569,-0.0380,1.9741,-0.3354,33.1707,4.3293,,,,SGN
0.3970,-0.0417,2.0032,-1.0366,30.6098,3.7195,,,,SGN
0.3499,-0.0457,2.0286,-1.3415,27.5000,2.0732,,,,SGN
0.3215,-0.0714,1.9705,-0.4268,21.3719,-0.2134,,,,SGN
0.2393,-0.0630,2.0098,0.7317,13.4146,0.0610,,,,SGN
,,,,,,-8.0625,-69.2500,-8.6250,SGN
0.2810,-0.0334,2.0166,0.5488,7.6220,-1.2805,,,,SGN
0.3054,-0.0459,2.0163,-0.2744,1.9512,1.8902,,,,SGN
0.2981,-0.0474,2.0386,-0.4878,-3.2927,2.6829,,,,SGN
0.2920,-0.0471,2.0342,-0.4878,-8.0488,3.1707,,,,SGN
0.3738,-0.0559,1.9880,0.0915,-8.2927,3.9024,,,,SGN
0.5405,-0.0508,1.9631,0.0000,-0.6707,2.4390,,,,SGN
0.5398,-0.0791,1.9270,1.7073,9.5732,0.4878,,,,SGN
0.4749,-0.0535,1.9697,0.4268,12.3171,1.8293,,,,SGN
,,,,,,-9.1250,-67.8125,-7.0625,SGN
0.4114,-0.0205,2.0701,-0.3659,13.3537,2.8049,,,,SGN
0.3499,-0.0572,2.0295,0.3354,11.3720,2.5305,,,,SGN
0.2993,-0.0535,1.9758,1.7073,6.9512,-0.9146,,,,SGN
0.2144,-0.0493,1.9666,-0.2439,2.3780,-1.3415,,,,SGN
0.2243,-0.0183,2.0198,-2.0122,-7.7134,0.1219,,,,SGN
0.3647,0.0278,2.0818,-6.8902,0.0610,-3.3537,,,,SGN
0.5515,-0.0271,2.1375,-5.3659,15.3049,-3.2317,,,,SGN
