ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.4785,-0.6877,1.9102,-0.7317,2.6220,2.0732,,,,SGN
0.4557,-0.6963,1.8762,-0.7927,0.7927,2.6829,,,,SGN
0.4668,-0.6960,1.8376,-0.7317,-1.3415,2.0732,,,,SGN
0.4741,-0.6914,1.8328,0.2439,-2.6829,1.2195,,,,SGN
0.5083,-0.6952,1.8588,1.0061,-3.2622,0.6707,,,,SGN
0.5295,-0.6982,1.8723,1.5244,-2.1951,0.3659,,,,SGN
0.5146,-0.6931,1.8689,1.1585,-2.0122,-0.7317,,,,SGN
0.5024,-0.6887,1.8689,,,,-13.5000,-62.3125,-2.7500,SGN
0.5032,-0.6868,1.8701,1.5244,-1.4939,-1.1280,,,,SGN
0.5083,-0.6858,1.8428,1.4634,0.0610,-1.3415,,,,SGN
0.5079,-0.6623,1.8677,0.8537,1.4024,-2.0122,,,,SGN
0.4814,-0.6633,1.8945,-0.4268,1.0366,-0.4573,,,,SGN
0.4688,-0.6677,1.8655,-0.8537,-1.4024,-0.8537,,,,SGN
0.4727,-0.6718,1.8156,-0.7927,-1.5854,-0.6098,,,,SGN
0.4875,-0.6750,1.8213,-0.4878,-0.3659,-0.2744,,,,SGN
,,,,,,-12.8125,-63.0625,-1.1250,SGN
0.4930,-0.7000,1.8673,-0.4268,0.1829,0.8537,,,,SGN
0.4961,-0.7151,1.8901,-0.4574,-0.4573,1.4939,,,,SGN
0.5012,-0.7253,1.8909,,,,,,,SGN
0.4956,-0.7148,1.8533,1.0366,-0.6402,1.1890,,,,SGN
0.4868,-0.6929,1.8364,0.9146,0.3049,1.3415,,,,SGN
0.4979,-0.6809,1.8938,0.2134,-1.1890,1.3415,,,,SGN
0.5178,-0.6919,1.8835,0.4878,-1.1585,0.8537,,,,SGN
0.5149,-0.6897,1.8396,,,,,,,SGN
0.5034,-0.6819,1.8369,0.7317,-0.5488,-0.1829,,,,SGN
,,,1.1585,0.5488,-0.6707,-12.8125,-61.6250,-2.7500,SGN
0.4929,-0.6670,1.8406,1.0366,0.7317,-0.4878,,,,SGN
0.4838,-0.6771,1.8700,0.7927,-0.4878,-0.2744,,,,SGN
0.5015,-0.6951,1.8706,0.4878,-1.3415,-0.6098,,,,SGN
0.4980,-0.6856,1.8573,0.2744,-1.1280,-0.5183,,,,SGN
0.4836,-0.6672,1.8411,0.0000,-1.2195,-0.6098,,,,SGN
0.4844,-0.6667,1.8398,-0.1829,-1.1585,-0.3659,,,,SGN
0.4905,-0.6699,1.8450,-0.3659,-1.2195,0.0610,,,,SGN
0.4993,-0.6750,1.8643,-0.5488,-0.9146,-0.3049,,,,SGN
,,,,,,-13.1875,-63.8125,-1.1250,SGN
0.5088,-0.6833,1.8845,-0.9756,-0.4268,0.2439,,,,SGN
0.5039,-0.6995,1.8730,-0.7927,-0.6707,0.5488,,,,SGN
0.4988,-0.7012,1.8584,-0.8537,-0.1220,0.7927,,,,SGN
0.4858,-0.6970,1.8403,-0.4268,-0.1829,1.0976,,,,SGN
0.4807,-0.6902,1.8469,-0.1829,-0.6707,1.0976,,,,SGN
0.5005,-0.6949,1.8755,0.1219,-1.1280,1.4329,,,,SGN
0.5164,-0.6946,1.8711,0.7317,-0.6098,1.0976,,,,SGN
0.5142,-0.6853,1.8591,0.9756,0.0000,0.8537,,,,SGN
0.5051,-0.6772,1.8599,1.0366,-0.1220,0.3049,-12.4375,-62.6875,-1.9375,SGN
0.4978,-0.6763,1.8638,0.6707,-0.6707,0.2439,,,,SGN
0.5020,-0.6807,1.8645,0.6707,-0.9146,-0.1829,,,,SGN
0.5093,-0.6843,1.8652,,,,,,,SGN
