ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.4465,-0.6763,1.8713,0.1220,0.2439,2.1951,-12.4375,-63.4375,-3.5000,SGN
0.4475,-0.6692,1.8757,0.0000,-1.1585,2.0732,,,,SGN
0.4653,-0.6648,1.8887,0.2439,-1.5244,2.0732,,,,SGN
0.4863,-0.6614,1.8992,-0.4268,-0.9146,1.3415,,,,SGN
0.4851,-0.6660,1.8940,0.0000,0.2439,0.6098,,,,SGN
0.4709,-0.6729,1.8733,0.7927,1.7073,-0.4268,,,,SGN
0.4673,-0.6692,1.8491,0.5488,1.7073,-0.5488,,,,SGN
0.4639,-0.6580,1.8633,0.2439,2.0122,-0.8537,,,,SGN
0.4551,-0.6677,1.8896,0.1829,1.7683,-0.6707,,,,SGN
0.4561,-0.6826,1.8892,0.1829,0.6707,-0.7927,-13.1875,-62.6875,-1.9375,SGN
0.4521,-0.6887,1.8740,0.0000,0.0000,-1.0366,,,,SGN
0.4536,-0.6819,1.8623,0.0000,-0.4878,-1.5244,,,,SGN
0.4426,-0.6812,1.8560,0.4268,-0.7317,-1.3415,,,,SGN
0.4392,-0.6714,1.8564,0.4878,-1.1585,-1.3415,,,,SGN
0.4463,-0.6589,1.8687,-0.1220,-1.9512,-1.5244,,,,SGN
0.4500,-0.6602,1.8804,-0.7317,-2.0122,-0.9146,,,,SGN
0.4498,-0.6776,1.8772,0.0305,-1.1890,-0.5793,,,,SGN
0.4568,-0.6729,1.8406,-0.1220,0.1829,0.1220,,,,SGN
0.4619,-0.6523,1.8628,-0.4878,0.6707,1.0366,,,,SGN
0.4534,-0.6658,1.9053,-0.9146,0.7317,2.0122,-11.0000,-62.0000,-2.3125,SGN
0.4568,-0.6870,1.9014,-0.3049,0.1829,2.5610,,,,SGN
0.4631,-0.6946,1.8796,0.0000,0.1829,2.4390,,,,SGN
0.4524,-0.6828,1.8634,0.3049,-0.0915,1.9207,,,,SGN
0.4485,-0.6709,1.8699,0.1829,-0.3049,1.4634,,,,SGN
0.4656,-0.6650,1.8818,0.4878,-0.7317,1.0366,,,,SGN
0.4834,-0.6584,1.8984,0.1220,-0.3049,0.5488,,,,SGN
0.4822,-0.6633,1.8999,0.0610,0.0610,-0.1829,,,,SGN
0.4744,-0.6677,1.8862,0.0610,0.6707,-0.6098,,,,SGN
0.4666,-0.6667,1.8660,0.4268,1.5854,-1.1585,-13.1875,-63.0625,-1.5625,SGN
0.4585,-0.6631,1.8545,0.1829,1.6463,-1.2195,,,,SGN
0.4507,-0.6665,1.8655,0.2439,1.2805,-2.0732,,,,SGN
0.4490,-0.6797,1.8750,0.4878,0.3049,-1.8293,,,,SGN
0.4509,-0.6816,1.8762,0.7317,-0.4268,-1.8902,,,,SGN
0.4558,-0.6792,1.8755,0.6098,-0.9146,-1.9512,,,,SGN
0.4482,-0.6733,1.8701,0.4268,-0.3049,-1.7683,,,,SGN
0.4419,-0.6675,1.8479,-0.0610,-0.5488,-1.4634,,,,SGN
0.4441,-0.6550,1.8564,-0.7317,-0.7317,-1.4024,,,,SGN
0.4409,-0.6594,1.8723,-0.9146,-0.8537,-0.6098,,,,SGN
0.4424,-0.6697,1.8726,-0.7927,-1.0976,-0.1829,,,,SGN
,,,,,,-13.5000,-62.6875,-0.7500,SGN
