ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.8640,-0.5940,1.7482,0.4878,-0.7927,-1.1890,,,,SGN
0.8899,-0.5825,1.7498,0.1829,-0.7317,-1.2805,,,,SGN
0.8967,-0.5896,1.7532,0.3659,-0.3049,-1.1585,-16.8125,-82.0625,-12.1875,SGN
0.8936,-0.6045,1.7471,0.6707,0.6707,-1.0366,,,,SGN
0.8887,-0.6038,1.7493,1.4024,1.9512,-0.7317,,,,SGN
0.8789,-0.6037,1.7346,1.4329,1.0061,-0.8841,,,,SGN
0.8550,-0.6055,1.7275,1.0976,-0.5488,-0.7317,,,,SGN
0.8748,-0.5986,1.7366,1.2195,-0.6098,-0.0610,,,,SGN
0.8943,-0.5950,1.7344,1.1585,-1.0976,-0.5488,,,,SGN
0.8896,-0.5967,1.7356,1.4634,-0.3659,-1.4024,,,,SGN
0.8879,-0.6008,1.7480,1.6463,0.5488,-0.4878,,,,SGN
0.8857,-0.5950,1.7510,1.7683,0.9146,0.0610,,,,SGN
,,,,,,-16.4375,-80.9375,-11.8125,SGN
0.8925,-0.5851,1.7454,1.7988,1.6768,-0.5487,,,,SGN
0.9014,-0.5845,1.7507,1.5854,3.3537,-0.2439,,,,SGN
0.8972,-0.5940,1.7563,1.1585,3.8415,0.2439,,,,SGN
0.8842,-0.5932,1.7528,1.0976,3.9024,0.3963,,,,SGN
0.8831,-0.6025,1.7437,,,,,,,SGN
,,,1.9512,4.1463,-0.0610,,,,SGN
0.8684,-0.5792,1.7283,2.3780,5.3659,-0.9756,,,,SGN
0.8721,-0.5674,1.7341,2.0732,7.1341,-0.7927,,,,SGN
0.8696,-0.5759,1.7593,2.3780,7.1341,0.4878,-15.6875,-81.6875,-11.8125,SGN
0.8691,-0.5864,1.7751,1.4634,4.5122,0.7927,,,,SGN
0.8577,-0.5984,1.7839,0.7927,3.1098,0.2439,,,,SGN
0.8735,-0.6116,1.7890,0.5793,4.0244,0.8232,,,,SGN
0.8855,-0.5972,1.7681,1.0976,6.8293,0.0610,,,,SGN
0.8577,-0.5903,1.7566,1.0976,7.0122,0.2439,,,,SGN
0.8342,-0.5872,1.7463,0.8537,5.9146,0.4268,,,,SGN
0.8381,-0.5803,1.7395,1.0366,3.7805,0.4268,,,,SGN
0.8501,-0.5764,1.7441,1.6463,3.3537,0.2439,,,,SGN
,,,,,,-16.4375,-79.8750,-11.4375,SGN
0.8582,-0.5657,1.7488,1.4634,5.0000,0.1220,,,,SGN
0.8726,-0.5701,1.7527,1.4634,6.6463,0.3659,,,,SGN
0.8710,-0.5824,1.7786,1.5854,8.1402,0.7622,,,,SGN
0.8569,-0.5920,1.7988,1.2195,8.3537,0.9146,,,,SGN
0.8562,-0.6077,1.8052,0.9756,8.7195,1.1585,,,,SGN
0.8469,-0.6096,1.7886,1.1585,8.3537,1.2195,,,,SGN
0.8218,-0.5947,1.7791,0.6707,6.7683,0.4268,,,,SGN
0.7942,-0.5950,1.7551,0.6707,4.6951,0.6098,,,,SGN
0.7817,-0.5830,1.7422,,,,,,,SGN
0.7939,-0.5559,1.7366,0.4878,3.4146,0.6707,,,,SGN
,,,-0.0610,1.8902,0.1220,-14.6250,-80.9375,-11.4375,SGN
0.8225,-0.5452,1.7530,0.3659,0.2439,-0.1220,,,,SGN
0.8342,-0.5439,1.7573,0.7927,-0.6707,0.3659,,,,SGN
0.8596,-0.5391,1.7742,0.7927,-0.3659,0.3049,,,,SGN
0.8611,-0.5623,1.7832,0.9451,-0.4268,0.1829,,,,SGN
0.8459,-0.5791,1.7847,1.0366,0.6707,0.1829,,,,SGN
0.8416,-0.5771,1.7820,0.9756,0.6098,-0.1829,,,,SGN
0.8320,-0.5779,1.7788,1.0976,-0.3049,-0.3049,,,,SGN
0.8140,-0.5833,1.7771,0.7317,-2.5000,-0.2439,,,,SGN
0.8159,-0.5825,1.7803,0.6098,-4.4512,0.0000,,,,SGN
0.8401,-0.5801,1.7803,0.7317,-5.5488,0.0610,-16.0625,-80.5625,-12.1875,SGN
0.8594,-0.5735,1.7805,0.8537,-5.7927,0.1829,,,,SGN
0.8580,-0.5510,1.7862,1.2805,-7.8963,0.2744,,,,SGN
0.8333,-0.5432,1.7825,1.7073,-10.2439,0.4268,,,,SGN
0.8240,-0.5496,1.7722,0.9756,-11.5244,0.0610,,,,SGN
0.8196,-0.5708,1.7673,1.1585,-9.4512,0.2439,,,,SGN
0.8381,-0.5867,1.7515,1.5244,-8.1707,0.8537,,,,SGN
0.8503,-0.5881,1.7412,1.3415,-7.8049,0.1829,,,,SGN
0.8516,-0.6069,1.7405,0.9756,-7.7439,-0.3659,,,,SGN
,,,,,,-15.0000,-81.6875,-12.6250,SGN
0.8535,-0.6138,1.7815,-0.3659,-6.0976,0.1220,,,,SGN
0.8943,-0.6215,1.8340,-0.8232,-4.1768,1.2805,,,,SGN
0.8972,-0.6328,1.8281,-0.0610,-0.8537,0.0610,,,,SGN
0.8860,-0.6113,1.7922,-0.2439,2.0732,-0.6707,,,,SGN
0.8840,-0.5896,1.7651,-0.3659,2.7439,-1.2805,,,,SGN
0.8569,-0.5791,1.7402,-0.7317,1.9512,-1.5244,,,,SGN
0.8296,-0.5706,1.7324,-0.0610,0.3049,-0.5488,,,,SGN
0.8105,-0.5623,1.7205,-0.2439,-2.7439,-0.6098,,,,SGN
0.8257,-0.5579,1.7124,1.2805,-5.6098,-1.5854,,,,SGN
,,,,,,-16.4375,-80.9375,-12.1875,SGN
0.8747,-0.5409,1.7007,1.2805,-5.1524,-2.0427,,,,SGN
0.9006,-0.5261,1.7246,2.1951,-0.4268,-1.7073,,,,SGN
0.8694,-0.5359,1.7390,2.3780,2.8049,-2.0732,,,,SGN
