ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.1333,-0.5342,1.8364,-18.2927,-28.9634,-23.3537,,,,SGN
0.2388,-0.5444,1.8647,-15.9146,-21.8902,-24.2683,,,,SGN
0.3784,-0.5586,1.8897,-11.4024,-2.3171,-25.7622,,,,SGN
0.3770,-0.5647,1.9072,-7.0122,15.7317,-26.5854,,,,SGN
0.3149,-0.5579,1.9185,-4.4512,21.5244,-26.2805,,,,SGN
0.2700,-0.5510,1.9131,-1.2195,21.2195,-25.0000,-0.7500,-68.1875,-4.6875,SGN
0.2410,-0.5630,1.9055,2.3780,17.1951,-24.2683,,,,SGN
0.2227,-0.5894,1.8821,7.3171,11.0976,-23.1098,,,,SGN
0.2264,-0.5867,1.8248,13.0183,5.1220,-21.3719,,,,SGN
0.2466,-0.5601,1.7961,18.6585,4.4512,-22.7439,,,,SGN
0.2351,-0.5286,1.8000,22.0122,7.9268,-22.9268,,,,SGN
0.2363,-0.4709,1.7976,24.2073,11.4024,-22.7439,,,,SGN
0.2891,-0.4084,1.8020,24.4512,13.5366,-22.7439,,,,SGN
0.3347,-0.3784,1.8508,25.1220,17.8659,-23.0488,,,,SGN
0.3491,-0.3784,1.9089,24.9390,24.0854,-23.6585,,,,SGN
,,,,,,-4.0625,-67.8125,-3.1250,SGN
0.3518,-0.3657,1.9395,25.6098,26.1585,-23.5976,,,,SGN
0.2974,-0.3753,1.8908,27.9269,20.0915,-23.4757,,,,SGN
0.2341,-0.3770,1.8140,30.3049,7.1341,-22.8049,,,,SGN
0.2427,-0.3308,1.8223,30.3659,-0.7317,-22.3171,,,,SGN
0.3154,-0.2686,1.8594,29.4512,-6.4024,-20.7927,,,,SGN
0.3967,-0.2280,1.8894,29.5122,-9.6341,-19.5732,,,,SGN
0.4568,-0.2085,1.9009,28.1098,-10.3659,-17.9268,,,,SGN
0.4932,-0.1982,1.9219,28.9634,-7.7439,-16.1585,,,,SGN
0.5032,-0.1931,1.8931,28.7805,-3.9024,-15.3049,,,,SGN
,,,,,,-1.5000,-68.5625,-4.6875,SGN
0.4391,-0.1421,1.8773,26.6769,-0.5488,-14.0244,,,,SGN
0.3643,-0.0947,1.8455,23.9024,0.8537,-11.8902,,,,SGN
0.3789,-0.0671,1.9126,20.8537,-4.6951,-10.1829,,,,SGN
0.3911,-0.0781,1.9971,17.8659,-7.1341,-7.3780,,,,SGN
0.4580,-0.0801,2.0356,14.6951,0.3049,-7.6220,,,,SGN
0.5115,-0.0969,2.0898,11.4024,12.1341,-8.5366,,,,SGN
0.4238,-0.1504,2.0671,9.6341,17.5610,-9.6341,,,,SGN
0.2939,-0.1958,1.9998,8.7805,15.1220,-10.0610,,,,SGN
0.2107,-0.2268,1.9470,8.6585,9.2073,-10.6098,,,,SGN
0.1743,-0.2756,1.8909,9.7561,2.9268,-11.3415,-0.3750,-66.3750,-5.5000,SGN
0.1685,-0.3003,1.8440,10.9146,-2.6220,-11.5854,,,,SGN
