ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.8164,-0.7244,0.5127,-1.0976,5.7317,0.1829,,,,SGN
1.8096,-0.7336,0.5037,-1.3415,3.9634,0.4268,,,,SGN
1.8171,-0.7385,0.4978,-1.0366,2.5000,0.4268,,,,SGN
1.8303,-0.7361,0.4963,-0.9756,2.5000,0.5488,-47.0625,-73.6250,-0.7500,SGN
1.8203,-0.7373,0.4956,-0.7317,3.1098,0.1220,,,,SGN
1.8074,-0.7485,0.4932,-0.6707,3.4756,-0.2439,,,,SGN
1.8108,-0.7537,0.4966,-0.4878,3.1098,-0.7317,,,,SGN
1.8228,-0.7581,0.5063,-0.3049,3.2317,-0.3049,,,,SGN
1.8315,-0.7615,0.5154,-0.2439,4.3293,-0.6098,,,,SGN
1.8344,-0.7545,0.5125,-0.3049,5.7927,-0.6707,,,,SGN
1.8230,-0.7559,0.5083,-0.4878,6.8293,-0.7927,,,,SGN
1.8203,-0.7524,0.5054,-0.0610,7.1951,-0.8537,,,,SGN
,,,0.3049,7.1341,-0.7317,-45.2500,-73.3125,-1.5625,SGN
1.8300,-0.7463,0.5237,0.3659,7.1951,-0.8537,,,,SGN
1.8210,-0.7498,0.5364,0.4268,6.6463,-0.6098,,,,SGN
1.8184,-0.7517,0.5300,0.6098,6.2805,-0.4878,,,,SGN
1.8231,-0.7380,0.5438,0.6098,4.2073,-0.3659,,,,SGN
1.8333,-0.7271,0.5559,0.4268,2.7439,0.0000,,,,SGN
1.8286,-0.7361,0.5549,0.2439,2.0732,0.1220,,,,SGN
1.8362,-0.7356,0.5433,0.2135,2.9573,-0.3049,,,,SGN
,,,0.1829,4.0244,-0.7927,-46.3750,-74.0000,-1.1250,SGN
1.8037,-0.7437,0.5474,,,,,,,SGN
1.7621,-0.7584,0.5238,0.2744,0.3963,-0.1219,,,,SGN
,,,0.3659,-4.4512,0.1829,,,,SGN
1.8264,-0.7429,0.5247,0.1220,-4.4512,0.2439,,,,SGN
1.8359,-0.7260,0.5696,-0.7012,-1.0061,-0.0610,,,,SGN
1.7974,-0.7334,0.5925,-1.2195,-1.0976,-0.1829,,,,SGN
1.8026,-0.7497,0.5600,-1.0366,-6.0061,0.4269,,,,SGN
1.8184,-0.7669,0.5089,-0.3659,-13.6585,1.5549,,,,SGN
,,,,,,-47.0625,-75.1250,-1.5625,SGN
1.8325,-0.7651,0.4817,-0.0610,-16.2805,2.0732,,,,SGN
1.8744,-0.7627,0.4851,0.0915,-13.0488,1.7988,,,,SGN
1.8745,-0.7610,0.4863,-0.4268,-9.3902,2.1341,,,,SGN
1.8337,-0.7522,0.4873,0.4878,-7.5610,1.1585,,,,SGN
1.8463,-0.7388,0.4829,-0.1830,-0.6402,-0.0915,,,,SGN
1.8569,-0.7456,0.4778,0.3659,4.6341,-0.1220,,,,SGN
1.8024,-0.7408,0.4782,0.2439,3.8110,-1.1585,,,,SGN
,,,,,,-45.2500,-72.9375,-0.7500,SGN
1.7961,-0.7461,0.4932,0.5488,0.6098,-1.7683,,,,SGN
1.8343,-0.7530,0.5134,0.3049,-1.0061,-1.7073,,,,SGN
1.8455,-0.7451,0.5342,0.0610,-1.0976,-1.6463,,,,SGN
1.8277,-0.7426,0.5301,-0.4879,-2.1646,-1.2500,,,,SGN
1.8254,-0.7273,0.5408,-0.8537,-1.5244,0.1829,,,,SGN
1.8584,-0.7263,0.5264,-1.8293,-1.3415,1.0976,,,,SGN
1.8645,-0.7368,0.5149,-1.1585,-0.6707,0.5488,,,,SGN
1.8347,-0.7385,0.5239,-0.7317,3.3537,0.1220,,,,SGN
1.8345,-0.7449,0.5117,0.0610,4.2073,0.6707,-46.7500,-75.1250,-0.7500,SGN
1.8123,-0.7625,0.5037,2.5610,3.5366,1.1585,,,,SGN
1.7568,-0.7720,0.4897,5.1220,2.4390,0.4878,,,,SGN
1.7404,-0.7517,0.4744,4.5427,1.4024,-0.4573,,,,SGN
1.7773,-0.7349,0.4846,2.3780,1.9512,-1.0976,,,,SGN
1.8423,-0.7493,0.4812,2.2256,-2.6524,1.3720,,,,SGN
