ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
1.2765,-1.1105,1.1499,1.9207,5.7622,-4.3293,,,,SGN
1.2139,-1.0750,1.1777,0.6098,7.6829,-6.6463,,,,SGN
1.1012,-1.0982,1.1940,1.3415,8.6890,-6.4329,,,,SGN
,,,,,,-26.6875,-64.5000,-2.7500,SGN
1.1760,-1.1304,1.1658,1.6463,2.6220,-5.7927,,,,SGN
1.2707,-1.1319,1.1460,1.8902,2.4390,-6.7683,,,,SGN
1.2881,-1.0896,1.1816,1.2195,10.9756,-8.7500,,,,SGN
1.2239,-1.0745,1.1948,2.1341,13.7195,-10.3049,,,,SGN
1.1582,-1.0879,1.1772,2.5610,3.1098,-9.7561,,,,SGN
1.1641,-1.1008,1.1582,2.9268,-11.7073,-7.9878,,,,SGN
1.2332,-1.0911,1.1689,3.0488,-19.3293,-7.2561,,,,SGN
1.3394,-1.0789,1.1980,2.2561,-16.4634,-7.5000,,,,SGN
1.4321,-1.0852,1.2212,1.2805,-9.5732,-7.1951,,,,SGN
,,,,,,-25.5625,-63.8125,-3.5000,SGN
1.4018,-1.0678,1.2719,0.3049,-2.8659,-6.6463,,,,SGN
1.2649,-1.0120,1.3550,-0.3659,8.0488,-8.1098,,,,SGN
1.1562,-1.0017,1.4456,-3.7805,27.0122,-9.9390,,,,SGN
1.0066,-1.0083,1.5847,-6.0976,42.8049,-12.3171,,,,SGN
0.9829,-0.9941,1.6833,-12.4390,46.6463,-14.2683,,,,SGN
1.2366,-1.0168,1.6641,-14.6341,53.9024,-14.3293,,,,SGN
1.5337,-1.0750,1.4658,-17.9878,62.4390,-11.5244,,,,SGN
1.6179,-1.0159,1.4702,-20.6098,66.7073,-12.5000,,,,SGN
1.4639,-0.9500,1.4851,-28.1098,78.7805,-15.1220,,,,SGN
1.2004,-0.9304,1.5198,-32.9878,106.6463,-22.1951,-25.5625,-63.4375,-3.5000,SGN
0.9241,-0.9651,1.5090,-37.3780,134.3902,-28.8415,,,,SGN
0.8542,-1.0161,1.4033,-39.5732,140.8537,-31.3415,,,,SGN
0.9636,-1.0386,1.3604,-41.2195,133.7805,-29.6341,,,,SGN
1.0117,-1.0513,1.3723,-40.0610,128.6585,-32.1341,,,,SGN
1.0012,-1.0872,1.2739,-36.5244,134.0244,-37.5610,,,,SGN
1.2026,-1.1157,1.1091,-32.6829,140.1219,-41.5854,,,,SGN
1.3972,-1.0806,1.0691,-30.2439,147.5000,-45.5488,,,,SGN
1.1482,-1.0225,1.1826,-28.5976,159.6342,-51.6463,,,,SGN
0.7188,-1.0132,1.2820,-27.3780,163.9634,-59.0244,,,,SGN
,,,,,,-17.5625,-60.1250,-1.1250,SGN
0.4722,-1.0576,1.3396,-25.4878,156.6463,-63.7195,,,,SGN
0.5132,-1.0930,1.3928,-26.3415,143.9024,-63.5366,,,,SGN
0.6912,-1.1101,1.4553,-22.8659,138.2927,-64.2073,,,,SGN
0.8323,-1.1003,1.5203,-20.9146,142.1951,-65.4268,,,,SGN
1.1037,-1.1004,1.5202,-18.3841,161.0976,-62.4390,,,,SGN
1.3372,-1.1455,1.4497,-10.9146,191.5244,-56.8293,,,,SGN
1.2620,-1.1392,1.4656,-6.4024,208.4146,-55.5488,,,,SGN
1.0903,-1.1116,1.4146,-2.9268,212.4390,-53.5976,,,,SGN
0.8994,-1.1294,1.3477,3.8415,202.3171,-50.8537,,,,SGN
0.6626,-1.1609,1.2446,11.0976,178.9634,-48.6585,-14.2500,-59.4375,1.5625,SGN
0.4370,-1.1567,1.1343,18.7805,147.3781,-47.8049,,,,SGN
0.3118,-1.1208,1.0864,26.2195,114.5732,-45.7317,,,,SGN
0.2947,-1.0669,1.0813,32.7439,86.6463,-42.7439,,,,SGN
0.3882,-1.0312,1.1301,36.4634,65.9756,-37.7439,,,,SGN
0.5503,-1.0288,1.3035,40.4268,53.6585,-32.8659,,,,SGN
0.6714,-1.0273,1.5654,41.7073,50.3659,-27.4390,,,,SGN
0.6492,-1.0259,1.7739,42.0732,49.2073,-23.7195,,,,SGN
0.5496,-1.0198,1.8726,39.6341,43.8415,-22.3780,,,,SGN
0.5098,-0.9619,1.9509,36.5244,33.7195,-21.9512,,,,SGN
0.5134,-0.9167,1.9675,33.0488,23.2317,-18.1707,-12.4375,-60.1250,0.3750,SGN
0.5601,-0.8801,1.9880,28.4756,16.2805,-14.6341,,,,SGN
0.5835,-0.8606,1.9856,26.0366,11.7073,-11.7683,,,,SGN
0.6199,-0.8389,2.0151,21.4024,5.0610,-9.2683,,,,SGN
0.7073,-0.8000,2.0811,16.5854,0.7317,-5.3049,,,,SGN
0.7659,-0.7693,2.1047,12.5610,5.5488,-3.4756,,,,SGN
0.7454,-0.7305,2.1074,9.0854,13.1707,-3.0488,,,,SGN
0.6191,-0.7493,2.0649,6.9512,16.4634,-1.5244,,,,SGN
0.4685,-0.7659,2.0076,5.1829,14.0854,0.8537,,,,SGN
0.3762,-0.7561,1.9631,3.7805,9.2073,1.2195,,,,SGN
0.3452,-0.7439,1.9353,2.6829,4.5122,1.1585,,,,SGN
,,,,,,-10.2500,-61.6250,0.0000,SGN
0.3179,-0.7366,1.8870,2.8659,-0.8537,2.0122,,,,SGN
0.2920,-0.7568,1.8325,,,,,,,SGN
0.3068,-0.7970,1.8234,3.9329,-9.2378,2.2866,,,,SGN
0.4165,-0.8137,1.8269,4.7561,-10.6098,1.0976,,,,SGN
0.4558,-0.8303,1.8213,5.1829,-7.8049,1.7073,,,,SGN
0.4600,-0.8491,1.8213,5.1829,-4.0549,3.1098,,,,SGN
0.4337,-0.8715,1.8116,5.7317,-4.2683,2.5610,,,,SGN
0.4482,-0.8594,1.8047,4.2683,-5.4878,3.1098,,,,SGN
,,,3.7195,-6.0366,4.0854,-11.3125,-60.8750,0.7500,SGN
0.4625,-0.9226,1.8396,3.4756,-6.0366,4.0244,,,,SGN
0.3005,-0.9177,1.8418,3.1707,-3.2317,1.9512,,,,SGN
0.4363,-0.8774,1.8264,0.4573,-4.7866,1.0366,,,,SGN
0.5293,-0.8530,1.8472,0.0610,-2.5000,3.2317,,,,SGN
0.4774,-0.8446,1.8307,0.2744,1.5549,2.4085,,,,SGN
0.4338,-0.8340,1.8110,0.1829,-1.2805,2.5000,,,,SGN
0.4231,-0.8264,1.8113,0.0610,-4.0854,3.2927,,,,SGN
0.4495,-0.8196,1.8113,0.7317,-5.1829,3.3537,-12.0625,-62.6875,-0.7500,SGN
0.4539,-0.8279,1.7961,1.2195,-3.2927,2.8049,,,,SGN
0.4382,-0.8320,1.7947,1.2195,-0.4878,1.9512,,,,SGN
0.4399,-0.8276,1.8025,1.3415,0.6098,1.6463,,,,SGN
0.4358,-0.8291,1.8130,1.1585,0.7317,2.3780,,,,SGN
0.4175,-0.8381,1.8184,0.8537,0.0000,2.8049,,,,SGN
0.4109,-0.8459,1.8162,1.2195,-1.7683,2.0122,,,,SGN
0.4189,-0.8474,1.8342,0.8537,-2.2561,1.9512,,,,SGN
0.4470,-0.8450,1.8289,0.9146,-3.1707,1.5854,,,,SGN
0.4367,-0.8526,1.8287,0.3659,-2.8049,1.5244,,,,SGN
,,,0.3659,-2.7439,1.0976,,,,SGN
0.4111,-0.8582,1.8054,0.8537,-2.7439,0.3049,,,,SGN
