ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.3916,-0.8809,1.7800,0.7317,-0.1220,-3.0488,,,,SGN
0.3838,-0.8899,1.7870,0.9756,-1.6159,-3.9634,,,,SGN
,,,,,,-10.6250,-62.0000,0.7500,SGN
0.3804,-0.8889,1.7937,1.2805,-3.5366,-3.4756,,,,SGN
0.4163,-0.8837,1.7921,1.4634,-4.2988,-3.3232,,,,SGN
0.4819,-0.8750,1.7827,1.4634,-3.4146,-2.9878,,,,SGN
0.4999,-0.8669,1.7830,1.5244,-1.2805,-2.5610,,,,SGN
0.4827,-0.8645,1.7844,1.1585,-1.7073,-1.1585,,,,SGN
0.4873,-0.8682,1.8091,0.9451,-1.7988,-0.9451,,,,SGN
0.4600,-0.8726,1.8372,1.0976,-2.0732,-0.5488,,,,SGN
0.4500,-0.8765,1.8242,0.9756,-2.1951,-0.4268,-10.2500,-61.2500,-0.3750,SGN
0.4465,-0.8682,1.8245,0.9756,-1.7683,-0.9146,,,,SGN
0.4412,-0.8679,1.8135,1.2195,-2.3171,-0.6707,,,,SGN
0.4055,-0.8669,1.7894,1.0976,-3.9024,-0.1829,,,,SGN
0.3784,-0.8726,1.7791,1.2195,-6.0976,-0.3659,,,,SGN
,,,1.5854,-8.2927,-0.1829,,,,SGN
0.3994,-0.8757,1.7712,1.9207,-11.3720,0.0305,,,,SGN
0.4465,-0.8721,1.7463,2.3171,-9.8171,-1.1585,,,,SGN
0.4841,-0.8638,1.7493,2.4390,-6.6463,-1.9512,-11.0000,-60.8750,-0.3750,SGN
0.4980,-0.8621,1.7700,2.2561,-2.8049,-2.6829,,,,SGN
0.4863,-0.8757,1.7671,2.8659,-1.0366,-2.9878,,,,SGN
0.4857,-0.8726,1.7862,2.5305,-2.3780,-3.0183,,,,SGN
0.5293,-0.8672,1.8247,1.5244,-4.2683,-0.9146,,,,SGN
0.5448,-0.8766,1.8483,1.3110,-3.3232,0.7622,,,,SGN
0.5154,-0.8779,1.8228,0.9146,-2.3780,0.7317,,,,SGN
0.4935,-0.8618,1.8060,-0.0305,-3.9329,1.6463,,,,SGN
0.5325,-0.8625,1.7888,-0.1829,-3.4146,3.0488,,,,SGN
,,,,,,-12.0625,-62.0000,-0.7500,SGN
0.5693,-0.8275,1.8089,-0.2439,0.4268,2.5000,,,,SGN
0.5758,-0.8379,1.8269,-0.3049,6.1585,4.3902,,,,SGN
0.5122,-0.8613,1.8064,-0.9146,8.8415,4.8171,,,,SGN
0.4709,-0.8640,1.7864,-1.0366,7.6829,5.0000,,,,SGN
0.4135,-0.8773,1.7509,-0.4878,3.8110,5.3049,,,,SGN
0.3494,-0.8801,1.7490,0.1829,-0.9756,4.4512,,,,SGN
,,,0.4268,-3.2927,4.0854,,,,SGN
0.3750,-0.8779,1.7700,0.9146,-4.0244,3.2317,-10.2500,-62.0000,0.0000,SGN
0.4270,-0.8665,1.7766,1.4634,-3.1098,2.4390,,,,SGN
0.4478,-0.8606,1.7852,1.8902,-1.7073,2.5610,,,,SGN
0.4322,-0.8655,1.7889,2.0732,0.2439,1.4024,,,,SGN
0.4285,-0.8655,1.7917,1.9512,-0.2439,0.3049,,,,SGN
0.4438,-0.8670,1.7869,2.1341,-1.8293,0.7927,,,,SGN
0.4480,-0.8665,1.7959,2.3780,-2.8049,0.4878,,,,SGN
0.4845,-0.8649,1.8034,1.8293,-2.9268,0.7926,,,,SGN
,,,,,,-12.0625,-61.6250,-1.1250,SGN
0.5173,-0.8606,1.8247,2.5610,-2.2561,1.1585,,,,SGN
0.5298,-0.8824,1.7375,6.0061,-2.3780,1.7988,,,,SGN
0.4783,-0.8328,1.6333,6.9512,-4.3293,0.7317,,,,SGN
0.4437,-0.8020,1.7064,6.7378,-1.3720,1.4024,,,,SGN
0.5190,-0.8159,1.8938,4.6951,7.0732,1.8902,,,,SGN
0.5345,-0.8644,2.0654,1.3110,15.9146,0.9451,,,,SGN
0.4827,-0.9023,2.0496,-2.8659,13.5366,1.3415,,,,SGN
,,,,,,-11.3125,-62.3125,-0.7500,SGN
0.4670,-0.8606,1.9587,-6.6768,8.4451,1.1585,,,,SGN
0.5356,-0.8308,1.8533,-9.1463,7.9268,2.2561,,,,SGN
0.5647,-0.8428,1.7927,,,,,,,SGN
0.5244,-0.8552,1.7578,-8.5976,14.4817,0.8537,,,,SGN
0.3484,-0.8582,1.7065,-5.5488,15.8537,-1.5854,,,,SGN
0.0830,-0.8494,1.6819,-4.5732,9.0854,-4.2073,,,,SGN
-0.0081,-0.8213,1.7112,-4.8171,-1.4024,-5.2439,,,,SGN
0.1501,-0.8162,1.7280,-3.0488,-7.3171,-4.8780,,,,SGN
0.3196,-0.8296,1.7339,-2.0732,-4.4512,-3.5976,,,,SGN
0.5735,-0.8899,1.7830,-1.7073,0.8537,-3.1098,,,,SGN
,,,,,,-11.0000,-62.6875,0.0000,SGN
0.7178,-0.9275,1.8103,-1.2805,7.9268,-4.4512,,,,SGN
0.5430,-0.8828,1.8389,-4.0854,15.5488,-4.7866,,,,SGN
0.5232,-0.8965,1.8247,,,,,,,SGN
,,,-5.3049,11.5244,-3.1707,,,,SGN
0.4793,-0.8819,1.9083,-7.4695,11.5854,-3.3232,,,,SGN
0.4932,-0.8645,1.9561,-10.1220,14.0854,-3.4146,,,,SGN
0.4734,-0.8650,1.9590,-11.7683,16.0976,-2.3171,,,,SGN
0.4319,-0.8750,1.9048,-12.5610,16.8293,-2.5610,,,,SGN
0.3955,-0.8896,1.7935,-12.7439,13.3537,-2.5610,,,,SGN
,,,,,,-10.2500,-60.8750,1.1250,SGN
0.3702,-0.8872,1.7333,-10.6707,2.8049,-1.0366,,,,SGN
0.3477,-0.8389,1.7087,-9.6341,-2.9878,-0.6707,,,,SGN
0.4091,-0.8450,1.7363,-7.9268,1.0976,-1.3720,,,,SGN
0.4131,-0.8882,1.7517,-6.0366,8.1707,-1.0366,,,,SGN
0.4019,-0.9053,1.7305,-4.5122,8.8415,-0.9756,,,,SGN
0.3762,-0.9155,1.6980,-2.7439,5.1220,-0.4268,,,,SGN
0.3469,-0.9258,1.6836,-1.4024,-0.7927,0.1220,,,,SGN
0.3347,-0.9373,1.7051,0.0000,-6.7073,1.4634,,,,SGN
0.3684,-0.9568,1.7065,1.0366,-9.7561,2.0122,-10.2500,-61.2500,1.9375,SGN
0.4141,-0.9697,1.7161,1.7683,-10.4268,2.0732,,,,SGN
0.4334,-0.9705,1.6928,2.9573,-5.3659,1.9817,,,,SGN
0.4912,-0.9424,1.7051,3.4146,-1.0976,3.1707,,,,SGN
0.4282,-0.9221,1.7778,2.9878,1.9512,5.0610,,,,SGN
