ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.4482,-0.6492,1.8728,-0.3049,3.1402,-0.1220,,,,SGN
,,,,,,-11.0000,-63.0625,-0.7500,SGN
0.4495,-0.6577,1.8718,-0.7317,2.8049,0.3049,,,,SGN
0.4886,-0.6703,1.8752,-0.6098,4.0854,0.1829,,,,SGN
0.4766,-0.6685,1.8628,-0.7317,6.5854,-0.2439,,,,SGN
0.4495,-0.6670,1.8640,-1.0366,5.7927,-0.1829,,,,SGN
0.4238,-0.6672,1.8770,-1.5244,4.6341,-0.6707,,,,SGN
0.4248,-0.6838,1.8833,-1.4634,3.2317,-0.7927,,,,SGN
0.4358,-0.6824,1.8806,-1.1585,1.9512,-0.8537,,,,SGN
0.4395,-0.6758,1.8870,-1.4634,1.2805,-0.7927,,,,SGN
0.4438,-0.6794,1.8770,,,,,,,SGN
0.4524,-0.6741,1.8608,-1.2195,1.7073,-0.7317,,,,SGN
,,,-1.2195,1.4634,-0.6707,-12.0625,-62.3125,-1.5625,SGN
0.4443,-0.6759,1.8748,-1.2805,1.0976,-0.1220,,,,SGN
0.4482,-0.6775,1.8777,-1.0976,0.7317,0.2439,,,,SGN
0.4578,-0.6746,1.8862,-0.7317,0.3659,0.2134,,,,SGN
0.4709,-0.6743,1.9041,0.1220,1.7073,0.4878,,,,SGN
0.4492,-0.6792,1.8799,0.6098,3.6585,1.0976,,,,SGN
0.4143,-0.6665,1.8958,-0.6707,2.8659,1.0366,,,,SGN
0.4229,-0.6558,1.9553,-0.6098,0.5488,1.5244,,,,SGN
0.4622,-0.6978,1.8848,0.3049,1.2805,2.0732,,,,SGN
0.4380,-0.6775,1.8596,-0.2439,3.4146,1.4024,,,,SGN
,,,,,,-13.1875,-62.6875,-1.5625,SGN
0.4258,-0.6526,1.8799,-0.1829,4.1463,2.7439,,,,SGN
0.4485,-0.6627,1.8813,0.3659,3.5976,3.5061,,,,SGN
