ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.5182,-0.6846,1.8799,0.8537,2.9268,-0.8537,,,,SGN
0.4849,-0.7090,1.8682,0.8537,3.1098,-1.8293,,,,SGN
0.4707,-0.7036,1.8643,0.7318,1.0671,-2.1951,,,,SGN
0.4817,-0.6820,1.8487,1.3415,-0.5488,-2.5000,,,,SGN
,,,0.9146,-0.3049,-2.5610,,,,SGN
0.4869,-0.6528,1.8611,0.3354,0.9756,-2.1646,,,,SGN
0.4702,-0.6497,1.8574,-0.3049,1.2805,-1.2805,,,,SGN
0.4724,-0.6526,1.8521,-0.8537,0.7927,-0.8537,-13.1875,-63.0625,-1.5625,SGN
0.4648,-0.6653,1.8560,-0.8537,0.2439,0.1220,,,,SGN
0.4617,-0.6858,1.8691,-0.9756,-0.3659,0.9146,,,,SGN
0.4741,-0.7029,1.8748,,,,,,,SGN
0.4893,-0.7080,1.8784,-0.6098,-0.9756,1.5854,,,,SGN
0.4883,-0.6992,1.8704,-0.3049,-1.0366,2.0122,,,,SGN
0.4844,-0.6746,1.8606,0.0915,-1.2500,2.1951,,,,SGN
0.4911,-0.6552,1.8603,0.3049,-1.6463,1.8902,,,,SGN
,,,0.2439,-0.9756,1.8293,,,,SGN
0.5108,-0.6431,1.8810,0.2439,0.5793,1.7073,,,,SGN
,,,,,,-13.8750,-62.6875,-2.3125,SGN
0.4983,-0.6592,1.8733,0.3049,1.1585,1.3415,,,,SGN
0.4901,-0.6773,1.8702,0.6707,1.2195,1.0671,,,,SGN
0.4890,-0.6943,1.8623,0.8537,0.6098,0.7927,,,,SGN
0.4943,-0.6976,1.8687,0.9146,-0.3963,-0.1829,,,,SGN
0.4929,-0.6860,1.8679,0.8537,-1.2195,-0.5488,,,,SGN
0.4814,-0.6810,1.8552,0.8537,-1.6159,-0.6707,,,,SGN
0.4822,-0.6685,1.8582,0.4878,-1.8293,-0.9146,,,,SGN
,,,,,,-12.8125,-63.0625,-1.1250,SGN
