max,1.2036,0.0786,0.8718,8.6585,239.6342,17.0122,0.0,0.0,25.3125
count,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0
mean,0.04131650793650793,-0.030435555555555553,0.31433968253968253,-0.7833907936507937,-0.8085568253968242,1.4583796825396824,-1.386111111111111,-2.990873015873016,-0.5206349206349207
std,0.13922394888517087,0.04658736884175815,0.4556946788837415,5.966359604024284,72.40651274483578,2.080877601016915,7.825856452511891,16.54463090958697,2.890616475482489
min,-0.1555,-0.1423,0.0,-16.7683,-176.3415,-4.0244,-59.5,-95.75,-18.125
25%,0.0,-0.07835,0.0,-2.10365,-22.34755,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.7927,0.0,0.0,0.0
75%,0.0,0.0,0.9337,1.6768,45.091449999999995,2.8049,0.0,0.0,0.0
max,0.562,0.0,1.0295,14.0854,138.2317,7.9268,0.0,0.0,0.0
count,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0
mean,0.2980911111111111,-0.0019098412698412702,0.08844031746031746,3.7766165079365077,-38.48374158730159,-3.1132384126984127,-2.5136904761904764,-3.1406746031746033,0.3051587301587302
std,0.4407296117633432,0.022995941174135028,0.2115111094488445,4.198488378671694,46.39025160256053,4.170031765823657,13.935472760061131,17.37524099524906,2.598326754925454
min,0.0,-0.105,-0.0889,-13.0488,-131.6463,-11.6463,-83.125,-101.1875,-9.8125
25%,0.0,0.0,0.0,0.0,-80.36590000000001,-7.28655,0.0,0.0,0.0
50%,0.0,0.0,0.0,4.3902,-26.6463,-1.6463,0.0,0.0,0.0
75%,0.833,0.0,0.0,7.378,0.0,0.0,0.0,0.0,0.0
max,1.1152,0.0515,0.8293,11.7073,97.0732,7.0122,0.0,0.0,22.3125
count,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0
mean,0.16125917721518987,-0.016494620253164553,0.22732373417721524,-6.547160443037975,62.47067246835442,1.6108382911392405,-1.8354430379746836,-3.0482594936708862,-0.2666139240506329
std,0.32765986837585526,0.03600308015281825,0.38094227489211524,8.93735138426165,61.84373888697249,3.2929660669934644,10.641677747389492,16.892163374445477,2.44788860390722
min,-0.1101,-0.1101,-0.0564,-42.1951,0.0,-5.6098,-82.375,-100.4375,-17.375
25%,0.0,-0.016825,0.0,-8.91765,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,-3.87195,53.1707,0.2439,0.0,0.0,0.0
75%,0.08574999999999999,0.0,0.41895,0.0,108.719475,2.2561,0.0,0.0,0.0
max,1.2798,0.0659,1.0151,3.1098,243.1098,15.3659,0.0,0.0,14.375
count,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0
mean,0.0984733118971061,-0.02467524115755627,0.27199903536977493,3.1642627009646307,-49.1222266881029,-1.296368810289389,-1.4495578778135048,-2.7415594855305465,-0.34987942122186494
std,0.2823169521065603,0.04068230412468384,0.4091168996505909,5.448564371230554,64.67638672950142,3.4103973241835415,8.9242404069023,15.908257616179728,2.24569132378076
min,-0.2966,-0.1416,0.0,-6.8293,-173.1707,-9.939,-76.25,-97.1875,-17.0
25%,0.0,-0.04715,0.0,0.0,-123.1707,-3.2927,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.65665,7.1951,0.0,0.0,0.0,0.0,0.0
max,0.9568,0.0098,1.0366,20.8537,35.9146,6.7683,0.0,0.0,0.0
count,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0
mean,0.311042718446602,0.001597411003236246,0.08211035598705502,-1.4393394822006476,15.349673139158579,1.1506414239482206,-2.60376213592233,-3.205501618122977,0.3169498381877023
std,0.45611963861212007,0.02082780499255264,0.1729385288550102,8.62072425733294,65.58904160060183,4.386388166451411,14.276008728917885,17.557800882385138,2.226440376455361
min,0.0,-0.0967,-0.0017,-32.7439,-103.9024,-7.8049,-84.1875,-100.8125,-5.625
25%,0.0,0.0,0.0,-4.0854,-19.3293,-0.061,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.8579,0.0,0.0479,3.5366,47.9878,2.8659,0.0,0.0,0.0
max,1.2007,0.0718,0.7158,12.7439,226.9512,17.1341,0.0,0.0,19.6875
count,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0
