ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
-2.4446,-1.2168,0.1602,,,,,,,PP
-2.2205,-1.3699,0.1194,,,,,,,PP
-2.0039,-1.2021,0.4668,,,,,,,PP
-1.8376,-1.0933,0.2883,,,,,,,PP
-1.7537,-1.1855,0.0129,,,,,,,PP
-1.6123,-1.0950,0.1865,,,,,,,PP
-1.4622,-1.1472,0.1421,,,,,,,PP
-1.4363,-0.7737,0.3052,,,,,,,PP
-1.3911,-0.9788,0.1536,,,,,,,PP
-1.2588,-0.8694,0.1624,,,,,,,PP
-1.3691,-1.0068,0.2466,,,,,,,PP
-1.4646,-1.0271,0.3076,,,,,,,PP
-1.3672,-0.9675,0.2603,,,,,,,PP
-1.1643,-0.8762,0.2368,,,,,,,PP
-1.0291,-0.7979,0.2612,,,,,,,PP
-1.0051,-0.8057,0.2793,,,,,,,PP
-1.0881,-0.8335,0.3071,,,,,,,PP
-1.2019,-0.8662,0.3169,,,,,,,PP
-1.2393,-0.8713,0.3364,,,,,,,PP
-1.2239,-0.8535,0.3518,,,,,,,PP
-1.2122,-0.8203,0.3506,,,,,,,PP
-1.2156,-0.7974,0.3521,,,,,,,PP
-1.2341,-0.7874,0.3682,,,,,,,PP
-1.2834,-0.7871,0.3884,,,,,,,PP
-1.3254,-0.7786,0.4014,,,,,,,PP
-1.3364,-0.8027,0.4065,,,,,,,PP
-1.3962,-0.8152,0.3999,,,,,,,PP
-1.4951,-0.8508,0.3870,,,,,,,PP
-1.5872,-0.8909,0.3826,,,,,,,PP
-1.6912,-0.9521,0.3721,,,,,,,PP
-1.8157,-1.0059,0.3604,,,,,,,PP
-1.9509,-1.1035,0.4561,,,,,,,PP
-2.0964,-1.1484,0.4683,,,,,,,PP
-2.0581,-1.2612,0.4224,,,,,,,PP
-2.0432,-1.3035,0.4744,,,,,,,PP
-2.0037,-1.3528,0.5334,,,,,,,PP
-1.9624,-1.4646,0.5464,,,,,,,PP
-2.0410,-1.4451,0.5359,,,,,,,PP
-1.8289,-1.5435,0.5867,,,,,,,PP
-1.7444,-1.8188,0.5767,,,,,,,PP
-1.8887,-1.4727,0.8542,,,,,,,PP
-2.0330,-1.4722,0.8416,,,,,,,PP
-2.1560,-1.5522,0.4395,,,,,,,PP
-2.3477,-1.3323,0.8242,,,,,,,PP
-2.7141,-0.5566,1.4944,,,,,,,PP
-2.5881,-0.1548,1.3936,,,,,,,PP
-2.3242,-0.2214,0.5115,,,,,,,PP
-2.1031,-1.0006,0.2322,,,,,,,PP
-2.0337,-0.8435,0.9353,,,,,,,PP
-2.1751,-0.9451,0.3619,,,,,,,PP
-2.2747,-0.8862,0.4485,,,,,,,PP
-2.3643,-0.9737,0.1794,,,,,,,PP
-2.5090,-1.1528,0.1360,,,,,,,PP
-2.3586,-1.0994,0.1448,,,,,,,PP
-2.1926,-1.0127,0.0774,,,,,,,PP
-1.9830,-0.9872,0.1392,,,,,,,PP
-1.8684,-0.9438,0.0164,,,,,,,PP
-1.6620,-1.0810,0.2045,,,,,,,PP
-1.7327,-1.2461,0.0457,,,,,,,PP
-1.7722,-1.0938,0.2725,,,,,,,PP
-1.5561,-1.0648,0.2215,,,,,,,PP
-1.3748,-0.9844,0.2166,,,,,,,PP
-1.3272,-0.9401,0.2539,,,,,,,PP
-1.2842,-0.8708,0.2563,,,,,,,PP
-1.3096,-0.8414,0.2923,,,,,,,PP
-1.3450,-0.8164,0.2903,,,,,,,PP
-1.3766,-0.7883,0.3145,,,,,,,PP
-1.4180,-0.7783,0.3274,,,,,,,PP
-1.4393,-0.7612,0.3348,,,,,,,PP
-1.4644,-0.7373,0.3350,,,,,,,PP
-1.5379,-0.7397,0.3313,,,,,,,PP
-1.6685,-0.7620,0.3215,,,,,,,PP
-1.8462,-0.8224,0.3112,,,,,,,PP
-1.9824,-0.8733,0.3098,,,,,,,PP
-2.0388,-0.9293,0.2720,,,,,,,PP
-2.1216,-0.9893,0.2488,,,,,,,PP
-2.1702,-0.9707,0.4667,,,,,,,PP
-2.3572,-1.2512,0.3120,,,,,,,PP
-2.4004,-1.3203,0.5686,,,,,,,PP
-1.4734,-1.6833,1.8818,,,,,,,PP
