ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
-1.7959,-2.3944,0.5334,,,,,,,PP
-1.4458,-2.1511,1.1709,,,,,,,PP
-1.9547,-1.6788,0.9424,,,,,,,PP
-2.6367,-1.2358,0.4766,,,,,,,PP
-2.8640,-0.8562,0.6843,,,,,,,PP
-2.7705,-0.7504,0.4713,,,,,,,PP
-2.5225,-0.6861,0.4158,,,,,,,PP
-2.2468,-0.7483,0.2900,,,,,,,PP
-2.0930,-0.7170,0.1965,,,,,,,PP
-1.9044,-0.7863,0.1495,,,,,,,PP
-1.2744,-0.9221,0.6777,,,,,,,PP
-1.3801,-1.0632,0.5881,,,,,,,PP
-1.8787,-1.4111,-0.3298,,,,,,,PP
-1.8997,-1.2632,0.3040,,,,,,,PP
-1.8579,-1.4438,0.2153,,,,,,,PP
-1.6646,-1.0317,0.3630,,,,,,,PP
-1.6277,-0.9670,0.0708,,,,,,,PP
-1.4458,-1.1658,0.0122,,,,,,,PP
-1.3206,-1.0786,0.4270,,,,,,,PP
-1.3899,-1.1494,0.2502,,,,,,,PP
-1.3184,-1.0010,0.2261,,,,,,,PP
-1.3079,-1.0166,0.1987,,,,,,,PP
-1.3406,-1.0134,0.1953,,,,,,,PP
-1.3472,-0.9265,0.2471,,,,,,,PP
-1.3545,-0.8657,0.3069,,,,,,,PP
-1.3167,-0.8748,0.2905,,,,,,,PP
-1.2454,-0.8284,0.3306,,,,,,,PP
-1.2068,-0.8218,0.3250,,,,,,,PP
-1.2026,-0.8057,0.3647,,,,,,,PP
-1.2661,-0.7786,0.3689,,,,,,,PP
-1.3174,-0.8018,0.3352,,,,,,,PP
-1.3542,-0.7588,0.3572,,,,,,,PP
-1.4214,-0.7441,0.3350,,,,,,,PP
-1.5686,-0.7939,0.3245,,,,,,,PP
-1.7725,-0.8801,0.3293,,,,,,,PP
-1.9028,-0.9387,0.3264,,,,,,,PP
-2.0488,-0.9173,0.4104,,,,,,,PP
-2.1228,-1.0618,0.3469,,,,,,,PP
-1.9919,-1.1792,0.4246,,,,,,,PP
-2.0444,-1.0601,0.5845,,,,,,,PP
-2.1375,-1.2388,0.4087,,,,,,,PP
-1.6970,-1.1787,1.4653,,,,,,,PP
-1.6772,-1.5371,1.3276,,,,,,,PP
-1.9707,-2.0662,0.5813,,,,,,,PP
-1.8745,-1.9131,1.5059,,,,,,,PP
-2.2532,-1.7805,1.3232,,,,,,,PP
-2.4983,-1.3301,0.6216,,,,,,,PP
-2.6689,-0.8979,0.4949,,,,,,,PP
-2.7542,-0.8477,0.9072,,,,,,,PP
-2.4590,-1.1433,0.9727,,,,,,,PP
-2.3501,-1.0090,0.6921,,,,,,,PP
-2.2455,-0.8599,0.6566,,,,,,,PP
-2.0701,-0.8320,0.5515,,,,,,,PP
-1.8479,-0.8750,0.2787,,,,,,,PP
-1.6462,-0.9976,0.4150,,,,,,,PP
-1.9250,-1.2703,0.2561,,,,,,,PP
-1.9956,-1.2910,-0.0295,,,,,,,PP
-2.0564,-1.0964,-0.0593,,,,,,,PP
-1.8455,-1.3323,-0.0037,,,,,,,PP
-1.6172,-1.2563,0.4370,,,,,,,PP
-1.4452,-1.3561,0.4928,,,,,,,PP
-1.4167,-1.2092,0.2233,,,,,,,PP
-1.3340,-0.9201,0.1702,,,,,,,PP
-1.2903,-0.9246,0.0491,,,,,,,PP
-1.2246,-0.9691,0.2908,,,,,,,PP
-1.3005,-0.9231,0.2200,,,,,,,PP
-1.3102,-0.9454,0.2804,,,,,,,PP
-1.3564,-0.9001,0.2590,,,,,,,PP
-1.4424,-0.8353,0.2652,,,,,,,PP
-1.4512,-0.8169,0.2756,,,,,,,PP
-1.4767,-0.8268,0.3287,,,,,,,PP
-1.5596,-0.8203,0.3215,,,,,,,PP
-1.7092,-0.7708,0.3559,,,,,,,PP
-1.8362,-0.9028,0.3357,,,,,,,PP
-1.7463,-0.9592,0.4167,,,,,,,PP
-1.8113,-0.9675,0.3616,,,,,,,PP
-1.9622,-1.0212,0.4275,,,,,,,PP
-1.7963,-1.1896,1.0330,,,,,,,PP
-1.8572,-1.6992,0.8428,,,,,,,PP
-1.7679,-1.7379,0.9891,,,,,,,PP
-2.0674,-1.5461,0.8828,,,,,,,PP
-2.1298,-1.3723,0.6208,,,,,,,PP
