ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
-1.4866,-0.8660,0.3120,,,,,,,PP
-1.5198,-0.7288,0.2259,,,,,,,PP
-1.5754,-0.7144,0.0955,,,,,,,PP
-1.6239,-0.6161,0.1699,,,,,,,PP
-1.7187,-0.6275,0.1600,,,,,,,PP
-1.7332,-0.6396,0.1670,,,,,,,PP
-1.8171,-0.5991,0.0676,,,,,,,PP
-1.7777,-0.5397,0.2408,,,,,,,PP
-1.6975,-0.5864,0.4285,,,,,,,PP
-1.7543,-0.6079,0.2673,,,,,,,PP
-1.6697,-0.6490,0.3030,,,,,,,PP
-1.9016,-0.7791,0.3892,,,,,,,PP
-2.0664,-1.0398,0.8669,,,,,,,PP
-2.1543,-1.2354,1.0210,,,,,,,PP
-2.3117,-0.9827,0.9173,,,,,,,PP
-2.5273,-0.6587,0.4329,,,,,,,PP
-2.3090,-0.7551,0.7836,,,,,,,PP
-1.9548,-0.9885,0.7349,,,,,,,PP
-1.8643,-0.8989,0.7742,,,,,,,PP
-1.8823,-0.6909,0.3020,,,,,,,PP
-1.6619,-0.6921,0.4131,,,,,,,PP
-2.2766,-0.8433,0.3870,,,,,,,PP
-1.8633,-0.7770,0.1182,,,,,,,PP
-1.8622,-1.0443,0.2570,,,,,,,PP
-1.8088,-1.0684,0.2700,,,,,,,PP
-1.8309,-1.1253,0.1694,,,,,,,PP
-1.8381,-1.1692,0.0796,,,,,,,PP
-1.6301,-1.0534,0.2014,,,,,,,PP
-1.5769,-0.9748,0.1770,,,,,,,PP
-1.5237,-0.9397,0.2522,,,,,,,PP
-1.4866,-0.7664,0.1573,,,,,,,PP
-1.6409,-0.7437,0.1277,,,,,,,PP
-1.5898,-0.7100,0.3484,,,,,,,PP
-1.5540,-0.7847,0.2444,,,,,,,PP
-1.5654,-0.6018,0.1704,,,,,,,PP
-1.6418,-0.5977,0.1702,,,,,,,PP
-1.7083,-0.6628,0.1890,,,,,,,PP
-1.7051,-0.6494,0.2668,,,,,,,PP
-1.7307,-0.6238,0.2246,,,,,,,PP
-1.7424,-0.5825,0.2056,,,,,,,PP
-1.7708,-0.4641,0.2688,,,,,,,PP
-1.8647,-0.5728,0.2410,,,,,,,PP
-1.8738,-0.6699,0.3127,,,,,,,PP
-1.8494,-0.6772,0.3425,,,,,,,PP
-1.9341,-0.6951,0.2532,,,,,,,PP
-2.0791,-0.7239,0.8105,,,,,,,PP
-1.9420,-0.9638,1.0420,,,,,,,PP
-2.0037,-0.9856,0.9741,,,,,,,PP
-2.0684,-0.7329,0.9136,,,,,,,PP
-2.4741,-0.6902,0.3975,,,,,,,PP
-2.3215,-0.8245,0.7839,,,,,,,PP
-2.2065,-0.9751,0.7529,,,,,,,PP
-2.0984,-0.8984,0.7532,,,,,,,PP
-1.8896,-1.1704,0.8879,,,,,,,PP
-1.7119,-0.8162,0.3608,,,,,,,PP
-1.9021,-0.8518,0.4565,,,,,,,PP
-2.3552,-0.7686,0.3542,,,,,,,PP
-1.7808,-0.6777,0.1541,,,,,,,PP
-1.8245,-0.6992,0.3062,,,,,,,PP
-1.8596,-1.0017,0.2312,,,,,,,PP
-1.5315,-1.0063,0.0557,,,,,,,PP
-1.5088,-1.0964,0.2942,,,,,,,PP
-1.6877,-1.0015,0.3396,,,,,,,PP
-1.7332,-1.0669,0.1038,,,,,,,PP
-1.8425,-1.2512,0.1428,,,,,,,PP
-1.6003,-1.1729,0.2129,,,,,,,PP
-1.6506,-0.9429,0.1543,,,,,,,PP
-1.5022,-1.0164,0.4387,,,,,,,PP
-1.6562,-1.0334,0.0708,,,,,,,PP
-1.6101,-0.8962,0.2310,,,,,,,PP
-1.5438,-0.8163,0.1993,,,,,,,PP
-1.4983,-0.7253,0.1765,,,,,,,PP
-1.5493,-0.6687,0.1301,,,,,,,PP
-1.5620,-0.6553,0.3904,,,,,,,PP
-1.5618,-0.7732,0.2205,,,,,,,PP
-1.6384,-0.4973,0.1682,,,,,,,PP
-1.7129,-0.5547,0.1670,,,,,,,PP
-1.7188,-0.6101,0.1914,,,,,,,PP
-1.7190,-0.6069,0.2446,,,,,,,PP
-1.8064,-0.6189,0.2231,,,,,,,PP
